bus,cluster,foreign,medoid_idx
1,41,,
1000,36,,
10001,28,,
10020,42,,
10025,42,,
10027,42,,
1003,36,,
1004,36,,
10058,64,,
10064,20,,
10071,2,,
10073,2,,
10086,55,,
10087,55,,
10101,58,,
10103,58,,
10135,18,,
10136,18,,
10169,55,,
1018,31,,
10181,7,,
10188,20,,
10189,20,,
1019,31,,
10209,45,,
10210,26,,
10212,45,,
10213,45,,
1023,23,,
10236,55,,
1024,23,,
10245,55,,
10246,55,,
10261,3,,
10266,3,,
10272,46,,
10276,5,,
1029,64,,
10294,8,,
1030,64,,
10304,42,,
10305,42,,
10306,42,,
10307,18,,
10310,42,,
10321,58,,
10374,18,,
1038,23,,
10385,2,,
1039,23,,
10392,23,,
10398,28,,
1040,23,,
1043,23,,
10443,42,,
10467,42,,
10468,42,,
10490,28,,
10493,28,,
10495,28,,
105,10,,
10500,28,,
10501,28,,
10504,8,,
10520,46,,
10522,46,,
10555,42,,
10557,42,,
10559,42,,
10566,10,,
106,10,,
10648,46,,
10660,20,,
10720,53,,
10721,53,,
10727,55,,
10736,46,,
1074,39,,
10743,55,,
10746,55,,
10748,42,,
1079,23,,
10854,23,,
10855,23,,
10866,27,,
1088,23,,
10892,55,,
109,10,,
10941,55,,
10951,59,,
10955,59,,
10978,11,,
10979,11,,
10983,11,,
10986,17,,
10993,16,,
10998,6,,
11000,55,,
11008,10,,
11014,41,,
11015,41,,
11017,41,,
11022,50,,
11023,50,,
11024,50,,
11028,50,,
1103,23,,
11031,50,,
11043,39,,
11047,39,,
11048,39,,
11066,23,,
11067,39,,
11073,23,,
11077,55,,
11078,55,,
1108,23,,
11085,28,,
11087,52,,
11094,21,,
11100,12,,
11102,38,,
11117,59,,
11124,57,,
11127,57,,
11131,14,,
11132,14,,
11133,14,,
11134,14,,
11139,14,,
11140,14,,
11145,20,,
11157,38,,
11158,38,,
11161,38,,
11163,38,,
11169,38,,
11174,59,,
11175,59,,
11177,59,,
11181,59,,
11182,59,,
11183,59,,
11199,18,,
112,41,,
11200,18,,
1121,10,,
11222,41,,
11232,58,,
11238,59,,
11239,59,,
1124,64,,
11244,22,,
11246,22,,
11247,22,,
11249,22,,
1125,64,,
11253,22,,
11256,46,,
11276,14,,
11287,22,,
11290,37,,
113,41,,
11318,52,,
11319,30,,
11320,52,,
11337,37,,
11355,30,,
11420,50,,
11421,50,,
11433,28,,
11437,7,,
11444,7,,
11454,42,,
11473,28,,
11474,28,,
11476,28,,
11478,28,,
11495,38,,
11503,20,,
11509,20,,
11510,20,,
11513,22,,
11516,22,,
11517,22,,
11522,57,,
11523,57,,
11528,57,,
11533,39,,
11545,41,,
11546,8,,8
11547,16,,
11549,8,,
11571,55,,
11581,22,,
11582,22,,
11603,30,,
11604,30,,
11606,30,,
11620,55,,
11621,55,,
11637,22,,
11638,22,,
11639,22,,
11647,59,,59
1165,58,,
11689,43,,
11690,43,,43
11712,20,,
11713,20,,
11715,41,,
11716,41,,
11724,46,,
11732,53,,
11761,52,,
11762,52,,
11764,52,,
11765,52,,
11780,64,,
11790,11,,
11808,41,,
11809,41,,
11810,41,,
11830,21,,
11831,21,,
11842,22,,
11843,22,,
11847,22,,
11853,43,,
11854,43,,
11855,43,,
11856,43,,
1188,22,,
1189,22,,
11908,37,,
11909,37,,
1191,22,,
11912,37,,
11937,38,,
11939,38,,
11941,38,,
11945,38,,
11946,38,,
11949,38,,
11950,38,,
11971,20,,
11984,55,,
12,0,,
1204,48,,
12045,50,,
12047,50,,
12048,50,,
12063,30,,
12076,39,,
1210,1,,
12101,37,,
12126,55,,
12150,37,,
12163,59,,
1219,12,,
12193,46,,
12194,46,,
12220,61,,
12221,61,,
12222,61,,
12223,61,,
12225,61,,
12227,61,,
12228,61,,
12229,61,,
1223,12,,
12230,61,,
12249,10,,
12250,10,,
12252,10,,
12256,10,,
12259,10,,
1226,12,,
12260,10,,
1227,12,,
12305,16,,
12359,38,,
12360,38,,
12400,41,,
12407,50,,
12410,50,,
12426,41,,
12427,41,,
12428,41,,
12458,6,,
12463,6,,
1247,7,,
1249,7,,
12538,16,,
12539,16,,
12569,16,,
12622,53,,
12624,53,,
12625,53,,
1263,64,,
12635,43,,
12637,43,,
1265,22,,
12650,43,,
12651,43,,
1266,22,,
12666,17,,
1267,22,,
1268,22,,
12697,43,,
12716,58,,
12720,58,,
12724,58,,
12732,24,,
12734,63,,
12737,56,,
12740,56,,56
12749,54,,
12751,54,,
12752,34,,
12758,62,,
12760,62,,
12762,62,,
12766,0,,
12775,13,,
1278,26,,
12788,9,,
12789,9,,
12790,47,,
12791,47,,
12794,2,,
12797,2,,
12798,2,,
12799,41,,
12805,22,,
12808,22,,
12817,2,,
12818,21,,
12821,21,,
12823,11,,
12824,32,,
1284,31,,
12844,13,,
12852,23,,
12857,45,,
1286,31,,
12860,45,,
12868,47,,
12869,47,,
12875,13,,
12876,13,,
12899,23,,
129,64,,
12900,23,,
12905,61,,
12907,23,,
12908,23,,
12911,23,,
12912,23,,
12923,35,,
12940,33,,
12942,33,,
12943,33,,
12945,33,,
12954,62,,
12956,33,,
12965,62,,
12976,24,,
12977,63,,
12978,63,,
12984,24,,
12985,63,,
12986,24,,
12989,35,,
12992,6,,
12994,6,,
12999,31,,
13001,31,,
13003,31,,
13009,34,,34
13038,31,,
13039,31,,
13040,31,,
13045,45,,
13047,45,,
13052,45,,
13060,2,,
13061,2,,
13066,41,,
13067,41,,
13071,63,,
13093,62,,
13098,45,,
131,64,,
13100,45,,
13107,58,,
13118,29,,
13119,29,,
13127,29,,
13129,29,,
1313,7,,
13130,2,,
13131,2,,
13133,29,,
13136,13,,
13139,45,,
13158,31,,
13165,31,,
13169,45,,
13172,19,,
13175,19,,
13192,62,,
13199,13,,
132,64,,
13208,45,,
13210,45,,
13223,14,,
13243,4,,
13249,60,,
13255,28,,
13258,33,,
1326,36,,
13273,21,,
13274,21,,
13276,21,,
13281,9,,
13293,31,,
133,64,,
1330,31,,
13300,31,,
13308,56,,
13309,2,,
1332,31,,
13326,21,,
13331,21,,
13338,1,,
13355,28,,
13358,28,,
13359,28,,
13361,28,,
13369,22,,
134,64,,
13400,45,,
13402,45,,
13403,45,,
13409,35,,
13411,35,,
13413,35,,
13414,35,,
13415,15,,
13416,15,,
13417,15,,
13428,63,,
13431,63,,
13451,4,,
13473,56,,
13479,63,,
13481,63,,
13485,23,,
13495,28,,
135,64,,
1350,35,,
13517,45,,
13522,55,,
13532,29,,
13533,29,,
13534,29,,
13536,29,,
13537,29,,
13543,55,,
13550,50,,
13558,23,,
13559,23,,
1356,22,,
13569,43,,
13577,34,,
13591,47,,
1360,22,,
13611,23,,
13623,56,,
13624,56,,
1363,22,,
13631,47,,
1364,22,,
1365,22,,
13656,35,,
13659,35,,
1366,22,,
13660,35,,
13661,35,,
13662,35,,
13682,62,,
13683,62,,
13684,62,,
13685,62,,
13688,62,,
13689,62,,
13690,62,,
13692,62,,
13700,6,,
1371,10,,
1372,10,,
13725,24,,
13726,1,,
13734,2,,
13752,19,,
13758,4,,
13765,35,,
13766,35,,
13786,45,,
13787,45,,
13798,35,,
138,64,,
13812,35,,
13817,15,,
13831,45,,
13832,45,,
13835,45,,
13837,45,,
13870,45,,
13881,24,,
13890,35,,
13898,2,,
13926,13,,
1393,7,,
13931,56,,
13933,56,,
1394,7,,
13942,1,,
13943,1,,
13959,45,,
13975,13,,
13990,22,,
13996,35,,
14007,62,,
14008,25,,
14009,62,,
14010,62,,
14025,58,,
14032,51,,
14034,2,,
1405,33,,
14052,24,,
1406,33,,
14066,22,,
1407,33,,
1408,33,,
14108,45,,
1411,33,,
14111,0,,
14113,0,,
14114,45,,
14115,45,,
14142,13,,
14149,58,,
14188,31,,
14190,31,,
14194,31,,
1420,21,,
14201,6,,
1421,21,,
14229,45,,
