date,name_of_run,scenario,data_version,solver,k,inertia,variation_1,variation_2,objective,solver_time[min],total_re_share,extendable_storage_capacity[MW],total_costs_extendable_storage,hydrogen_capacity,battery_capacity,number_hydrogen_storage_units,number_battery_storage_units
2018-09-08,nep-3-200,NEP 2035,V0.4.5,gurobi,200,1499.76272399,None,None,10162989790,28,56.74,215,14074594,215,0,1,0
2018-09-08,nep-3-300,NEP 2035,V0.4.5,gurobi,300,905.159724538,None,None,10401672624,52,56.33,214,14027979,214,0,1,0
2018-09-08,nep-3-400,NEP 2035,V0.4.5,gurobi,400,624.001540871,None,None,10789083739,103,56.25,470,30828695,324,143,2,3
2018-09-08,nep-3-500,NEP 2035,V0.4.5,gurobi,500,453.125649241,None,None,11185655107,142,56.39,1601,104983755,1015,587,1,4
2018-09-09,nep-3-500-5,NEP 2035,V0.4.5,gurobi,500,453.125649241,-5% storage costs,None,11180251398,153,56.4,1701,105940122,1032,669,1,4
2018-09-09,nep-3-500+5,NEP 2035,V0.4.5,gurobi,500,453.125649241,+5% storage costs,None,11190807175,153,56.39,1513,104157049,995,517,1,4
2018-09-09,nep-3-500-10,NEP 2035,V0.4.5,gurobi,500,453.125649241,-10% storage costs,None,11174503149,155,56.41,1809,106741285,1048,761,1,4
2018-09-09,nep-3-500+10,NEP 2035,V0.4.5,gurobi,500,453.125649241,+10% storage costs,None,11195623687,153,56.38,1430,103060666,973,456,1,2
2018-09-09,nep-3-600,NEP 2035,V0.4.5,gurobi,600,342.961113408,None,None,11293574149,209,55.96,708,46583519,0,708,0,4
2018-09-10,nep-3-700,NEP 2035,V0.4.5,gurobi,700,266.736322852,None,None,11281792603,219,56.12,905,59545037,28,877,1,5
2018-09-16,nep-3-800,NEP 2035,V0.4.5,gurobi,800,211.250373901,None,None,11560474958,,55.63,1626,106931816,302,1324,3,8
2018-09-11,nep-3-500,NEP 2035,V0.4.5,cplex,500,453.125649241,None,None,5153212023,1936,54.43,7975,524594396,845,7130,6,32
2018-09-12,nep-3-500-var-noise,NEP 2035,V0.4.5,gurobi,500,453.125649241,Noise seed=456789,None,11185479429,153,56.39,1601,104986391,1015,587,1,4
2018-09-12,nep-3-500-lower-linecap,NEP 2035,V0.4.5,gurobi,500,453.125649241,Branch cap.=0.5,None,12235789755,176,55.7,1702,111734643,652,1049,2,6
2018-09-12,nep-3-500-fix65,NEP 2035,V0.4.5,gurobi,500,453.125649241,RE-share=0.65,None,13490884098,260,66.05,5741,375948520,4669,1071,8,8
2018-09-14,nep-3-500-fix60,NEP 2035,V0.4.5,gurobi,500,453.125649241,RE-share=0.60,None,11715385986,233,60.82,2872,188113104,2186,686,5,5
2018-09-14,nep-3-500-fix70,NEP 2035,V0.4.5,gurobi,500,453.125649241,RE-share=0.70,None,16030009402,317,71.9,13578,888899445,11465,2110,20,13
2018-09-14,sq-3-500,Status Quo,V0.4.5,gurobi,500,452.175534593,None,None,8137330969,78,35.41,0,0,0,0,0,0
