line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
24397,True,28.0,15.9717894247,57.04,28.0,57.04,0.0
1864,True,179.0,149.674914213,83.62,179.0,83.62,0.0
2212,True,104.0,110.854850623,106.59,110.854850623,100.0,6.854850623
7822,True,26.0,3.94561781788,15.18,26.0,15.18,0.0
8352,True,179.0,21.3293687555,11.92,179.0,11.92,0.0
9001,True,26.0,33.9709748976,130.66,33.9709748976,100.0,7.9709748976
1852,True,179.0,21.3293687555,11.92,179.0,11.92,0.0
22349,True,28.0,18.310986764,65.4,28.0,65.4,0.0
311,True,52.0,358.544820535,689.51,358.544820535,100.0,306.544820535
350,True,52.0,358.544820535,689.51,358.544820535,100.0,306.544820535
351,True,52.0,358.544820535,689.51,358.544820535,100.0,306.544820535
352,True,52.0,49.9997472502,96.15,52.0,96.15,0.0
386,True,26.0,26.0,100.0,26.0,100.0,0.0
387,True,26.0,36.9745710398,142.21,36.9745710398,100.0,10.9745710398
388,True,26.0,33.9709748976,130.66,33.9709748976,100.0,7.9709748976
605,True,179.0,116.713041094,65.2,179.0,65.2,0.0
606,True,179.0,116.713041094,65.2,179.0,65.2,0.0
621,True,52.0,24.4712851727,47.06,52.0,47.06,0.0
638,True,179.0,175.457227847,98.02,179.0,98.02,0.0
653,True,179.0,99.6155220453,55.65,179.0,55.65,0.0
654,True,179.0,99.2488428874,55.45,179.0,55.45,0.0
655,True,179.0,99.6155220453,55.65,179.0,55.65,0.0
656,True,179.0,101.43526949,56.67,179.0,56.67,0.0
657,True,26.0,36.9745710398,142.21,36.9745710398,100.0,10.9745710398
658,True,26.0,39.3567486158,151.37,39.3567486158,100.0,13.3567486158
659,True,26.0,36.9745710398,142.21,36.9745710398,100.0,10.9745710398
660,True,26.0,41.9476451179,161.34,41.9476451179,100.0,15.9476451179
661,True,26.0,39.0150402284,150.06,39.0150402284,100.0,13.0150402284
663,True,52.0,310.563007416,597.24,310.563007416,100.0,258.563007416
1143,True,52.0,68.7845738543,132.28,68.7845738543,100.0,16.7845738543
1144,True,52.0,68.7845738543,132.28,68.7845738543,100.0,16.7845738543
1145,True,52.0,47.2466390816,90.86,52.0,90.86,0.0
1146,True,52.0,68.7845738543,132.28,68.7845738543,100.0,16.7845738543
1788,True,179.0,0.0,0.0,179.0,0.0,0.0
1843,True,52.0,48.9425703454,94.12,52.0,94.12,0.0
1844,True,52.0,24.4712851727,47.06,52.0,47.06,0.0
1845,True,52.0,15.9023754421,30.58,52.0,30.58,0.0
1851,True,179.0,175.555367295,98.08,179.0,98.08,0.0
1866,True,179.0,148.512641586,82.97,179.0,82.97,0.0
1867,True,179.0,148.778779521,83.12,179.0,83.12,0.0
1906,True,179.0,99.6155220453,55.65,179.0,55.65,0.0
1911,True,179.0,125.810687307,70.29,179.0,70.29,0.0
1972,True,358.0,7.12955365285,1.99,358.0,1.99,0.0
1973,True,358.0,7.05773718268,1.97,358.0,1.97,0.0
1998,True,26.0,2.90804697778,11.18,26.0,11.18,0.0
