line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
24397,True,28.0,15.9641052953,57.01,28.0,57.01,-3.5527136788e-15
1864,False,179.0,146.593445968,81.9,179.0,81.9,0.0
2212,False,104.0,44.8689421592,43.14,104.0,43.14,0.0
7822,True,26.0,3.94561781788,15.18,26.0,15.18,0.0
8352,False,179.0,31.1341304058,17.39,179.0,14.78,0.0
9001,False,26.0,26.0,100.0,26.0,100.0,0.0
1852,False,179.0,31.1341304058,17.39,179.0,14.78,0.0
22349,True,28.0,16.5143655502,58.98,28.0,58.98,-3.5527136788e-15
311,True,52.0,62.4,120.0,52.0,100.0,0.0
350,True,52.0,62.4,120.0,52.0,100.0,0.0
351,True,52.0,62.4,120.0,52.0,100.0,0.0
352,False,52.0,18.4422451645,35.47,52.0,35.47,0.0
386,False,26.0,17.3611674528,66.77,26.0,53.65,0.0
387,True,26.0,30.1411416941,115.93,26.0,97.14,0.0
388,False,26.0,26.0,100.0,26.0,100.0,0.0
605,False,179.0,113.617017694,63.47,179.0,63.47,0.0
606,False,179.0,113.617017694,63.47,179.0,63.47,0.0
621,False,52.0,23.5959231753,45.38,52.0,45.38,0.0
638,False,179.0,172.68761815,96.47,179.0,96.47,0.0
653,True,179.0,95.967999712,53.61,179.0,53.61,0.0
654,True,179.0,95.6147468795,53.42,179.0,53.42,0.0
655,True,179.0,95.967999712,53.61,179.0,53.61,0.0
656,True,179.0,97.7211152769,54.59,179.0,54.59,0.0
657,True,26.0,30.1411416941,115.93,26.0,97.14,0.0
658,True,26.0,30.0730586764,115.67,26.0,100.0,0.0
659,True,26.0,30.1411416941,115.93,26.0,97.14,0.0
660,True,26.0,31.2,120.0,26.0707618248,100.0,0.0707618248
661,True,26.0,31.2,120.0,27.8214893794,100.0,1.8214893794
663,True,52.0,62.4,120.0,52.0,100.0,0.0
1143,True,52.0,56.9585924974,109.54,52.0,100.0,0.0
1144,True,52.0,56.9585924974,109.54,52.0,100.0,0.0
1145,True,52.0,35.7648147364,68.78,52.0,61.61,0.0
1146,True,52.0,56.9585924974,109.54,52.0,100.0,0.0
1788,True,179.0,0.0,0.0,179.0,0.0,0.0
1843,False,52.0,47.1918463507,90.75,52.0,90.75,0.0
1844,False,52.0,23.5959231753,45.38,52.0,45.38,0.0
1845,False,52.0,15.333531794,29.49,52.0,29.49,0.0
1851,False,179.0,172.784208457,96.53,179.0,96.53,0.0
1866,False,179.0,145.455101907,81.26,179.0,81.26,0.0
1867,False,179.0,145.715760664,81.41,179.0,81.41,0.0
1906,True,179.0,95.967999712,53.61,179.0,53.61,0.0
1911,False,179.0,121.100699043,67.65,179.0,67.65,0.0
1972,False,358.0,7.17358246121,2.0,358.0,2.0,0.0
1973,False,358.0,7.10132248592,1.98,358.0,1.98,0.0
1998,True,26.0,2.90804697778,11.18,26.0,11.18,0.0
1999,True,26.0,2.90804420208,11.18,26.0,11.18,0.0
2213,False,104.0,90.0479002342,86.58,104.0,86.58,0.0
2214,False,104.0,45.178958075,43.44,104.0,43.44,0.0
2261,False,52.0,7.06109816885,13.58,52.0,13.58,0.0
2262,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
2263,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
2264,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
2265,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
2266,False,52.0,10.1803321064,19.58,52.0,19.58,0.0
2267,False,52.0,7.13602301375,13.72,52.0,13.72,0.0
2268,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
2325,False,179.0,112.234076773,62.7,179.0,62.7,0.0
2326,False,179.0,113.617017694,63.47,179.0,63.47,0.0
13890,True,26.0,25.4713118697,97.97,26.0,97.97,0.0
2328,False,179.0,113.617017694,63.47,179.0,63.47,0.0
2329,False,179.0,113.617017694,63.47,179.0,63.47,0.0
2372,True,52.0,0.0,0.0,52.0,0.0,0.0
2373,True,52.0,0.0,0.0,52.0,0.0,0.0
2403,False,26.0,8.17920837941,31.46,26.0,31.36,0.0
2405,True,26.0,3.96661268308,15.26,26.0,15.26,0.0
2406,True,26.0,12.0227114145,46.24,26.0,44.02,0.0
2410,False,26.0,26.0,100.0,26.0,100.0,0.0
2574,True,26.0,35.2212825466,135.47,35.2212825466,100.0,9.2212825466
2575,True,26.0,35.4403587601,136.31,35.4403587601,100.0,9.4403587601
2576,True,26.0,42.2914937684,162.66,42.2914937684,100.0,16.2914937684
2577,True,26.0,33.8911320312,130.35,33.8911320312,100.0,7.8911320312
2638,True,26.0,32.4163539449,124.68,32.4163539449,100.0,6.4163539449
2639,True,26.0,32.4163539449,124.68,32.4163539449,100.0,6.4163539449
2640,True,26.0,32.638560746,125.53,32.638560746,100.0,6.638560746
2641,True,26.0,16.4127404202,63.13,26.0,63.13,0.0
3853,True,179.0,0.0,0.0,179.0,0.0,0.0
5244,True,26.0,20.5231377816,78.94,26.0,68.57,0.0
5245,True,26.0,1.34535122076,5.17,26.0,5.17,0.0
5289,True,26.0,31.2,120.0,26.0,100.0,0.0
5305,True,26.0,31.2,120.0,26.0059310995,100.0,0.0059310995
5291,True,26.0,31.2,120.0,26.0,100.0,0.0
5292,True,26.0,31.2,120.0,28.7820845991,100.0,2.7820845991
5307,True,26.0,31.1928843039,119.97,26.0,100.0,0.0
5370,True,26.0,8.42843814444,32.42,26.0,32.42,0.0
5377,True,26.0,20.0263550458,77.02,26.0,49.07,0.0
6085,True,179.0,0.0,0.0,179.0,0.0,0.0
6087,True,179.0,0.0,0.0,179.0,0.0,0.0
6088,True,179.0,0.0,0.0,179.0,0.0,0.0
6089,True,179.0,0.0,0.0,179.0,0.0,0.0
6091,True,179.0,0.0,0.0,179.0,0.0,0.0
6092,True,179.0,0.0,0.0,179.0,0.0,0.0
6206,True,28.0,31.2,111.43,28.0,92.86,-3.5527136788e-15
6386,True,26.0,31.2,120.0,26.0,100.0,0.0
6387,True,26.0,16.1280987358,62.03,26.0,62.03,0.0
6388,True,26.0,16.4341386093,63.21,26.0,63.21,0.0
6389,True,26.0,31.2,120.0,26.0,100.0,0.0
6475,True,28.0,14.6883956112,52.46,28.0,52.46,-3.5527136788e-15
6544,True,26.0,21.211689295,81.58,26.0,81.58,0.0
6545,True,28.0,21.211689295,75.76,28.0,75.76,-3.5527136788e-15
6648,True,28.0,18.4603620964,65.93,28.0,65.93,-3.5527136788e-15
6585,False,26.0,12.9962539444,49.99,26.0,49.99,0.0
6625,True,28.0,26.7382472889,95.49,28.0,95.49,-3.5527136788e-15
6669,False,28.0,28.0,100.0,28.0,100.0,0.0
6780,True,28.0,22.7441388599,81.23,28.0,81.23,-3.5527136788e-15
6781,True,28.0,22.7441388599,81.23,28.0,81.23,-3.5527136788e-15
6782,True,26.0,22.7441388599,87.48,26.0,87.48,0.0
6799,True,26.0,44.8542923883,172.52,44.8542923883,100.0,18.8542923883
6800,True,26.0,45.3146035233,174.29,45.3146035233,100.0,19.3146035233
6801,True,26.0,46.6558331561,179.45,46.6558331561,100.0,20.6558331561
6806,True,26.0,47.3855791533,182.25,47.3855791533,100.0,21.3855791533
6857,True,26.0,8.13456738604,31.29,26.0,31.29,0.0
6858,True,26.0,20.8911492662,80.35,26.0,80.35,0.0
6913,True,26.0,31.2,120.0,29.7119792856,100.0,3.7119792856
6912,True,26.0,34.944396208,134.4,34.944396208,100.0,8.944396208
6996,True,52.0,4.45455979888,8.57,52.0,7.16,0.0
6997,True,52.0,4.41957715743,8.5,52.0,7.1,0.0
7070,False,26.0,17.2501647753,66.35,26.0,66.35,0.0
7071,False,26.0,17.2479654526,66.34,26.0,66.34,0.0
7072,False,26.0,2.70724329543,10.41,26.0,10.36,0.0
7073,True,26.0,29.9123842164,115.05,26.0,100.0,0.0
7080,True,52.0,6.58662626518,12.67,52.0,12.67,0.0
7082,True,52.0,15.8285335078,30.44,52.0,30.44,0.0
7093,True,26.0,31.2,120.0,26.0,100.0,0.0
7102,True,26.0,31.2,120.0,26.0,100.0,0.0
7219,True,26.0,31.2,120.0,26.0,100.0,0.0
7220,True,26.0,31.2,120.0,26.0,100.0,0.0
7221,True,26.0,29.3885424414,113.03,26.0,100.0,0.0
7231,True,26.0,31.2,120.0,26.0,100.0,0.0
7232,True,26.0,30.9800064645,119.15,26.0,99.65,0.0
7233,True,26.0,31.0900032322,119.58,26.0,100.0,0.0
7235,True,26.0,25.2509729249,97.12,26.0,97.12,0.0
7236,True,26.0,25.2509729249,97.12,26.0,97.12,0.0
7325,True,26.0,31.2,120.0,26.0,100.0,0.0
7326,True,26.0,26.0,100.0,26.0,100.0,0.0
7327,True,26.0,31.2,120.0,26.0,100.0,0.0
7328,True,26.0,24.6423240479,94.78,26.0,94.78,0.0
7333,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
7334,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
7335,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
7336,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
7350,False,26.0,12.4384540778,47.84,26.0,47.84,0.0
7351,True,26.0,12.845728343,49.41,26.0,49.41,0.0
7368,False,26.0,13.0924890414,50.36,26.0,50.36,0.0
7439,True,26.0,31.2,120.0,26.0,100.0,0.0
7468,False,26.0,12.6432255797,48.63,26.0,48.08,0.0
7469,True,26.0,26.0,100.0,26.0,100.0,0.0
7458,True,26.0,1.1989198238,4.61,26.0,4.61,0.0
7470,True,26.0,26.0,100.0,26.0,100.0,0.0
7471,True,26.0,26.0,100.0,26.0,100.0,0.0
7472,True,26.0,16.8641778997,64.86,26.0,64.86,0.0
7473,True,26.0,16.8641778997,64.86,26.0,64.86,0.0
7491,True,26.0,17.3265101773,66.64,26.0,66.64,0.0
7508,True,26.0,33.0086849626,126.96,33.0086849626,100.0,7.0086849626
7547,False,26.0,3.78166678389,14.54,26.0,14.1,0.0
7590,True,52.0,32.7089640654,62.9,52.0,62.9,0.0
7591,True,52.0,32.7089640654,62.9,52.0,62.9,0.0
7592,True,52.0,32.7172175453,62.92,52.0,62.92,0.0
7593,True,52.0,32.4781857731,62.46,52.0,62.46,0.0
7594,True,52.0,32.7089640654,62.9,52.0,62.9,0.0
7615,False,358.0,11.9910576439,3.35,358.0,3.35,0.0
