transformer_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
22763,False,260.0,21.745869896,8.36,260.0,4.21,0.0
22920,False,640.0,135.304482537,21.14,640.0,11.95,0.0
22569,False,400.0,13.2580954837,3.31,400.0,2.44,0.0
22740,False,60.0,1.11674898659,1.86,60.0,1.08,0.0
22933,False,800.0,56.7637027649,7.1,800.0,4.98,0.0
22582,False,510.0,23.0989468883,4.53,510.0,2.29,0.0
22823,False,1080.0,191.935999424,17.77,1080.0,11.38,0.0
22777,False,60.0,1.1989198238,2.0,60.0,0.72,0.0
22888,False,380.0,48.087655752,12.65,380.0,4.56,0.0
22778,False,800.0,52.7426647326,6.59,800.0,4.75,0.0
22889,False,1500.0,185.462540468,12.36,1500.0,8.91,0.0
22568,False,220.0,14.5093288036,6.6,220.0,1.05,0.0
22741,False,800.0,54.7245417489,6.84,800.0,4.98,0.0
22552,False,200.0,15.1399616311,7.57,200.0,2.81,0.0
22601,False,400.0,14.2026449718,3.55,400.0,2.6,0.0
22932,False,300.0,11.6321879111,3.88,300.0,3.4,0.0
22747,False,260.0,24.186519157,9.3,260.0,4.81,0.0
22883,False,60.0,1.39048988412,2.32,60.0,0.86,0.0
22596,True,60.0,61.8185728309,103.03,60.0,85.8,0.0
22908,False,60.0,0.0,0.0,60.0,0.0,0.0
22531,False,200.0,14.1145177896,7.06,200.0,4.0,0.0
22808,False,360.0,11.5147479845,3.2,360.0,1.62,0.0
22934,False,1600.0,34.6136948728,2.16,1600.0,1.09,0.0
