,snapshot,objective,stores,generators
0,2011-01-01 00:00:00,5,5,5
1,2011-01-01 05:00:00,5,5,5
2,2011-01-01 10:00:00,5,5,5
3,2011-01-01 15:00:00,5,5,5
4,2011-01-01 20:00:00,5,5,5
5,2011-01-02 01:00:00,5,5,5
6,2011-01-02 06:00:00,5,5,5
7,2011-01-02 11:00:00,5,5,5
8,2011-01-02 16:00:00,5,5,5
9,2011-01-02 21:00:00,5,5,5
10,2011-01-03 02:00:00,5,5,5
11,2011-01-03 07:00:00,5,5,5
12,2011-01-03 12:00:00,5,5,5
13,2011-01-03 17:00:00,5,5,5
14,2011-01-03 22:00:00,5,5,5
15,2011-01-04 03:00:00,5,5,5
16,2011-01-04 08:00:00,5,5,5
17,2011-01-04 13:00:00,5,5,5
18,2011-01-04 18:00:00,5,5,5
19,2011-01-04 23:00:00,5,5,5
20,2011-01-05 04:00:00,5,5,5
21,2011-01-05 09:00:00,5,5,5
22,2011-01-05 14:00:00,5,5,5
23,2011-01-05 19:00:00,5,5,5
24,2011-01-06 00:00:00,5,5,5
25,2011-01-06 05:00:00,5,5,5
26,2011-01-06 10:00:00,5,5,5
27,2011-01-06 15:00:00,5,5,5
28,2011-01-06 20:00:00,5,5,5
29,2011-01-07 01:00:00,5,5,5
30,2011-01-07 06:00:00,5,5,5
31,2011-01-07 11:00:00,5,5,5
32,2011-01-07 16:00:00,5,5,5
33,2011-01-07 21:00:00,5,5,5
