name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035_lowflex,0,52086,rural_heat_pump,1361.5068478992312,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1361.5068478992312,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
1,eGon2035_lowflex,0,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,128.9580755582829,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
2,eGon2035_lowflex,0,52118,central_heat_pump,18.99590817848113,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,18.99590817848113,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
3,eGon2035_lowflex,0,52118,central_resistive_heater,19.68408599600622,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,19.68408599600622,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
4,eGon2035_lowflex,1,50834,central_heat_pump,1.5271671825790143,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.5271671825790143,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
5,eGon2035_lowflex,1,50834,central_resistive_heater,1.9546555277199484,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.9546555277199484,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
6,eGon2035_lowflex,1,52059,rural_heat_pump,2773.0674058476247,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2773.0674058476247,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
7,eGon2035_lowflex,1,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,213.61616831251976,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
8,eGon2035_lowflex,1,52110,central_heat_pump,127.67850528371937,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,127.67850528371937,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
9,eGon2035_lowflex,1,52110,central_resistive_heater,121.97838064786139,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,121.97838064786139,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
10,eGon2035_lowflex,10,43788,DC,600.0,True,2400.0,5723.974843713645,924.4234459444242,,1.0,600.0,-1.0,0.0,600.0398138730828,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
11,eGon2035_lowflex,10,52043,rural_heat_pump,1748.3879492136343,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1748.3879492136343,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
12,eGon2035_lowflex,10,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,,0.7,0.0,0.0,0.0,6936.083680350033,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
13,eGon2035_lowflex,10,52116,central_heat_pump,24.616179786596437,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,24.616179786596437,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
14,eGon2035_lowflex,10,52116,central_resistive_heater,18.5907289915513,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,18.5907289915513,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
15,eGon2035_lowflex,10,52122,central_heat_pump,53.30677604729444,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,53.30677604729444,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
16,eGon2035_lowflex,10,52122,central_resistive_heater,72.2607540079574,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,72.2607540079574,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
17,eGon2035_lowflex,11,52046,rural_heat_pump,1821.7303863716863,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1821.7303863716863,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
18,eGon2035_lowflex,11,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,,0.7,0.0,0.0,0.0,144.92299610033524,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
19,eGon2035_lowflex,11,52114,central_heat_pump,15.695350678171,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,15.695350678171,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
20,eGon2035_lowflex,11,52114,central_resistive_heater,31.499404920324107,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,31.499404920324107,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
