,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,45129885.122994,3594251.5312742465,7242328.759618326,1964871.5914736344,49352008.02833943,19262986.031084195,43203651.110232145,17145753.17787296,1426239.1030399047,104590208.65422472,159616.95091066152
1,45114878.96098357,3538270.016967957,7206486.939037538,1961092.2454454238,49147820.64831082,19309709.85257579,43152958.69855557,17108239.07216795,1423678.6045721665,105107619.20524427,172304.05434783522
2,45118493.64785219,3525202.756487789,7199855.960192737,1963818.7437753652,49071409.997341335,19394640.264692213,43165590.45044703,17132395.8356421,1425903.3757298898,105532610.4938305,184946.5991234465
3,45120545.145442694,3503712.5992170204,7191582.657494442,1965900.1530035539,48980800.38519755,19492431.24159927,43171758.99834583,17150424.320069432,1427691.1346275534,106067897.98284349,197886.29317102183
4,45122917.79020107,3483898.157167157,7182354.015815524,1968103.2951567587,48891172.37706842,19566167.043389764,43177863.77011005,17168481.30638776,1429222.1637531507,106740288.02794312,210447.7625748039
5,45161803.705678076,3537303.844578165,7222955.001250621,1979570.9562758845,49041145.72995476,19597518.869137447,43293628.71459017,17295320.272953235,1438399.4449250286,107684346.82438894,223180.00104973608
6,45153200.49121657,3480418.7936639073,7196950.761890497,1967583.9923625076,48855753.90917539,19553798.467122983,43221218.2150256,17252338.83562473,1436581.695026996,108211219.55885912,235005.74233221897
7,45159732.40284221,3460341.6726982035,7188540.238787828,1963248.8341207006,48774581.674069226,19582587.619747005,43207188.72861048,17261705.6111856,1437678.4262987056,108855551.42752995,246469.60069586354
8,45158030.0445696,3424295.04080382,7173788.9147367785,1955630.6633980037,48638121.13225102,19502067.85542419,43165186.899588816,17247878.835396025,1437499.0167923097,109280967.35370792,232070.18373876868
9,45173845.10694276,3428771.557361439,7187204.932330737,1956334.8822045946,48620700.38827529,19282626.286643602,43187544.74960419,17294110.773179732,1441371.0029359455,109661400.6285186,217534.58543845837
10,45201702.5015081,3479370.8413936147,7224405.967043134,1964955.7610266595,48688083.969293155,19298310.08027625,43271131.72827566,17389387.402557656,1448080.4361495078,110336966.4062201,198660.21776436197
11,45158448.23457742,3440902.7858016575,7253284.700112668,1950373.7644206828,48425086.551504955,19099898.54976507,43155719.74807026,17323643.60241304,1445987.601188635,111727514.87120152,173604.5632651223
12,45127804.619797826,3432186.79243684,7291493.299185821,1942900.172621639,48260282.183140725,18939461.05170574,43112143.21585651,17307509.67077178,1445943.6675457403,113022746.10857493,148663.9649839619
13,45084945.9095254,3397786.524273528,7308814.041290472,1930539.351092862,48007527.21691603,18643551.926379543,42954789.81957781,17248892.648813244,1441858.1940771188,113756918.48627336,123690.60228001472
14,45082974.09795915,3445574.398109772,7368365.658692398,1937678.226716657,48045487.44522623,18428523.47992827,42978344.847572565,17332740.003462117,1445986.0726961773,114223255.6868288,99174.72042821549
15,45085579.1187486,3452047.0791597315,7355976.261761267,1944644.818284225,47986576.84232537,18626801.43199803,42994909.25175328,17350900.61575613,1445471.8686481214,114220732.7788027,74571.49296476025
16,45059938.88872958,3398989.640925898,7308269.753276058,1941346.9152173172,47740592.903796025,18683322.496879425,42915161.02079059,17270665.00668857,1438959.1876792468,113984959.58902843,49466.53120900347
17,45047339.12103563,3366172.7561816135,7274773.147634176,1941568.821722942,47573774.14825927,18784099.50399408,42874123.48749078,17227879.14374041,1435307.8313675155,113981060.83986995,24738.452567366778
18,45018526.43509042,3301243.1812577727,7222431.503877488,1936212.3500774358,47304116.53703281,18847117.927122723,42780186.2612397,17131479.608252324,1428366.9573738344,113904288.82502307,2.289562671113033
19,45047395.94542734,3354798.377761293,7252242.915093987,1950465.7648010335,47410137.831738845,19036869.60290584,42880469.43732945,17231832.427647263,1434776.7532852748,114024964.61371464,198.61052351203912
20,45017194.1773567,3292182.9409504854,7200028.546727537,1942443.0035108451,47264244.89183817,19156921.5587365,42767448.26355617,17093055.993737884,1429481.6519629413,113944136.73487793,11449.472166080104
21,44997332.754786484,3251048.8495023195,7163174.701044834,1938480.8111521944,47177407.19814404,19188607.30967847,42695567.7811824,16996801.793179505,1426650.392700353,113592741.84759091,22512.81959476234
22,44982422.782309115,3217993.6731390683,7135552.70441139,1936214.1489361122,47116335.70284984,19254675.68130253,42642235.8755945,16918902.14547931,1424973.6581214026,113453835.20491849,34654.418455877516
23,44955087.83006483,3156735.8547382574,7092892.633245669,1929278.9457463287,46989027.36247764,19261760.17889443,42546314.0053987,16793143.07542461,1420753.3794724487,113362362.18038224,46829.89265915331
24,44989092.315555975,3240605.3183277845,7133627.062999648,1942899.9568523602,47274452.08593439,19439163.04011634,42687705.55482687,16892123.896337792,1429484.958125117,112933642.95513998,59369.85118153427
25,44968272.086759165,3244210.8740353347,7094757.253932755,1934198.6461626047,47386320.825235195,19420646.699576654,42663103.86193225,16773767.537131505,1426293.6846621272,111540167.02158889,71339.75288741813
26,44966299.13894882,3272086.576329705,7082142.660370901,1933268.5506784853,47560183.99889718,19441880.997175038,42699903.10527266,16732085.526924387,1427422.7023717025,109833504.44156711,83541.37305993964
27,44962854.79085039,3294858.109217864,7068794.203277277,1931428.1386264183,47727672.369051546,19480020.92715281,42731811.26873687,16682188.216790201,1428245.7194455606,108438146.30208476,90077.55789569995
28,44959771.478571594,3316705.737061055,7055779.397594988,1929639.9692115048,47896372.55571127,19306643.482106883,42765594.02009465,16633527.924106197,1429295.347690295,107469404.12523472,95762.82681607448
29,45006796.50527134,3399606.7971061715,7116319.371288312,1942584.2114828867,48223231.12913161,19347789.343613256,42917774.99802689,16788025.633094415,1438952.338272009,106977668.52743451,108332.11452123303
