name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035_lowflex,12,52046,rural_heat_pump,1361.5068478992312,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1361.5068478992312,DE,inf,False,,,0.0,,,1.0,1.0
1,eGon2035_lowflex,12,52101,power_to_H2,1454.6482962007256,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,1454.6482962007256,DE,31.0,False,,,0.0,,,1.0,1.0
2,eGon2035_lowflex,12,52118,central_heat_pump,18.99590817848113,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.99590817848113,DE,inf,False,,,0.0,,,1.0,1.0
3,eGon2035_lowflex,12,52118,central_resistive_heater,19.68408599600622,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.68408599600622,DE,inf,False,,,0.0,,,1.0,1.0
4,eGon2035_lowflex,11,50834,central_heat_pump,1.5271671825790143,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5271671825790143,DE,inf,False,,,0.0,,,1.0,1.0
5,eGon2035_lowflex,11,50834,central_resistive_heater,1.9546555277199484,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.9546555277199484,DE,inf,False,,,0.0,,,1.0,1.0
6,eGon2035_lowflex,11,52043,rural_heat_pump,2773.0674058476247,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2773.0674058476247,DE,inf,False,,,0.0,,,1.0,1.0
7,eGon2035_lowflex,11,52101,power_to_H2,1478.4093376851354,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,1478.4093376851354,DE,31.0,False,,,0.0,,,1.0,1.0
8,eGon2035_lowflex,11,52110,central_heat_pump,127.67850528371937,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,127.67850528371937,DE,inf,False,,,0.0,,,1.0,1.0
9,eGon2035_lowflex,11,52110,central_resistive_heater,121.97838064786139,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,121.97838064786139,DE,inf,False,,,0.0,,,1.0,1.0
10,eGon2035_lowflex,11,10,DC,600.144153523824,2400.0,6312.155253319713,1019.4147371242226,1.0,600.0,-1.0,1.0,0.0,600.144153523824,SE,inf,False,,,0.0,,,1.0,1.0
11,eGon2035_lowflex,11,52043,rural_heat_pump,1748.3879492136343,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1748.3879492136343,DE,inf,False,,,0.0,,,1.0,1.0
