,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,11 battery,11 pumped_hydro,12 battery,12 pumped_hydro,13 battery,13 pumped_hydro,14 battery,14 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,5 battery,5 pumped_hydro,6 battery,6 pumped_hydro,7 battery,9 battery,9 pumped_hydro
0,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.261700647358339,0.0,0.0,0.0,0.0,0.0,0.0,10432.4677928,0.0,4949.00077953,4004.0,0.0,0.0,0.0
1,0.0,0.0,1350.0,0.0,0.0,0.0,-3195.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-541.1754543029342,3310.929606331146,0.0,4949.00077953,4004.0,0.0,-75.58950617702837,-1153.5755310846664
2,0.0,-300.0,0.0,0.0,0.0,-1465.974303461231,-3195.2,-1806.63652839,-220.0,-2389.4732835677028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-330.08527940989586,719.5712842809953,0.0,4949.00077953,2940.725959972001,-2025.02449595,-625.0,-1323.099976
3,0.0,0.0,-997.0965142579888,0.0,0.0,-3785.19890568386,-3195.2,-1806.63652839,0.0,0.0,-2160.0,-4272.44068399,0.0,0.0,0.0,0.0,0.0,-1191.17601695,0.0,0.0,2721.051458278005,0.0,-2025.02449595,-625.0,-1323.099976
4,-1767.57494945,0.0,0.0,0.0,-2623.00802867,-4311.83539065,-3195.2,-1806.63652839,-220.0,-6448.55027896,0.0,0.0,0.0,0.0,-3725.8519772500003,0.0,0.0,-1191.17601695,-2783.37708110903,0.0,-2139.5190392729983,0.0,0.0,-625.0,-1323.099976
5,-1767.57494945,-67.78180290267908,0.0,0.0,-2623.00802867,-4311.83539065,-3195.2,-1806.63652839,-220.0,0.0,-1280.0994916649172,-4272.44068399,0.0,-1047.2089756,0.0,-1337.00503955,-687.5999756,-1191.17601695,-2752.339458908995,0.0,-4088.488058825398,-1612.3094343536038,-2025.02449595,-625.0,-1323.099976
6,-1767.57494945,-300.0,0.0,0.0,0.0,-4311.83539065,-2960.074630136919,-909.6700648919468,-220.0,0.0,0.0,0.0,-1200.0,-1047.2089756,-2904.270327563945,0.0,0.0,-1191.17601695,-4367.799542800006,0.0,-4949.00077953,-4004.0,-2025.02449595,0.0,-1323.099976
7,-1767.57494945,0.0,0.0,0.0,0.0,-9.9346249152768,-3195.2,-1118.1906040942808,-220.0,0.0,0.0,-3623.9003543279123,0.0,-1047.2089756,0.0,0.0,0.0,-1191.17601695,-398.05016561299044,0.0,-4949.00077953,-4004.0,0.0,-625.0,-1323.099976
8,0.0,0.0,0.0,0.0,0.0,-3892.9129343776044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.53110623699104,0.0,-2184.3758323454376,-4004.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200.0,0.0,0.0,-1335.39671848328,0.0,0.0,0.0,0.0,0.0,-976.2303427779989,0.0,0.0,0.0
