,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,43408652.96233321,3475802.7752318704,7442786.959265476,1941024.70784755,45799997.19930559,18896860.11566184,41088266.64352527,16873776.18743622,1507964.2370417197,75557323.19848989,175154.51436310748
1,43457238.17599611,3306338.78381117,7562087.288192246,1902551.98490119,45901122.189382285,18956564.137187243,41240758.58241747,16907241.44074205,1539430.5476419497,75056667.05613288,177725.09858409493
2,43505096.90767217,3122987.60472499,7680441.018509216,1863823.64614159,46009926.8244988,19016553.972816743,41390941.78898067,16938468.38716068,1570745.6717125496,74556350.5529871,180247.63617090238
3,43549878.70256054,2974225.9349382403,7794785.531614586,1824012.6739327102,46069539.2042035,19037195.04406626,41490179.93992257,16960215.22405441,1601420.4614001096,74045056.01282778,182740.30041085984
4,43588652.911211684,2772932.2110948404,7901302.221204355,1782087.9066546902,46091223.288741104,19046648.46848369,41611492.87526007,16963452.55638584,1630845.0258499796,73529039.22424974,185268.8861156073
5,43625921.744470745,2568665.2694746805,8005857.4220315255,1739633.4665670802,46103403.3362227,19037854.0974758,41728021.78443027,16962051.79421667,1659956.3100183597,73003220.24041806,187745.71144095476
6,43664305.24399006,2366599.8687840705,8111865.021612495,1697571.2265997303,46122620.717713304,19024869.42207609,41848093.06089617,16964085.3431693,1689299.5648709997,72424561.05890183,190213.06328009223
7,43703443.434738815,2206691.7007617005,8218855.976158265,1655774.5279890103,46213269.539648704,18974725.6221322,41970562.71759907,16968444.11230243,1718799.8768151996,71854776.49418823,192685.3651176597
8,43743362.27600559,2007658.7034175305,8326864.110356735,1614252.5046223104,46242180.1477823,19008859.04822108,42054346.58551157,16975208.08275166,1748462.6481800196,71292964.24570176,195151.78421534717
9,43784069.43011274,1810182.6770207204,8435899.408135705,1573007.8525207203,46342734.4630407,19004348.84714767,42181802.34853787,16984400.862299792,1778289.4735540997,70725451.11952025,197609.96931356462
10,43825343.11128945,1613825.5797383403,8545672.884900775,1531962.5354064403,46446865.4903211,19042773.837946735,42269891.84653807,16995339.124137424,1808234.1976003498,70156710.08914776,200078.79528392208
11,43866868.62044809,1428609.5420784303,8655774.490954544,1491005.8250512402,46503419.7417249,19077422.191762514,42399948.31102457,17007053.273493852,1838231.32900058,69596375.45740288,202587.54791530955
