,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,-48489.085533209145,182106.18776812963,-119175.07495547645,38506.546042450005,-149684.7614055872,-20838.027261842042,-152186.44732527435,-33169.08043621853,-31446.30559171969,502107.9049101174,-2535.232861107477
1,-48585.21366289999,169463.9914207,-119300.32892677002,38472.722946359994,-101124.99007669999,-59704.02152540001,-152491.9388922,-33465.25330583,-31466.310600229997,500656.14235699933,-2570.5842209874536
2,-47858.73167606,183351.17908618003,-118353.73031697002,38728.3387596,-108804.63511651999,-59989.8356295,-150183.20656320002,-31226.946418630003,-31315.124070600003,500316.50314578414,-2522.537586807448
3,-44781.79488837001,148761.66978675,-114344.51310537002,39810.972208880004,-59612.3797047,-20641.071249519995,-99238.1509419,-21746.83689372999,-30674.789687559998,511294.54015931487,-2492.664239957463
4,-38774.20865115,201293.72384340002,-106516.68958977002,41924.767278019994,-21684.084537600003,-9453.42441743,-121312.93533750002,-3237.332331429996,-29424.56444987,516016.78857804835,-2528.585704747471
5,-37268.833259060004,204266.94162016,-104555.20082717002,42454.44008761,-12180.047481599999,8794.371007889993,-116528.90917020002,1400.762169169997,-29111.28416838,525818.9838316739,-2476.825325347454
6,-38383.49951932,202065.40069061003,-106007.59958097001,42062.239967350004,-19217.381490600015,12984.675399710006,-120071.27646590002,-2033.548952629997,-29343.25485264,578659.1815162301,-2467.3518391374673
7,-39138.19074875001,159908.16802237002,-106990.95454577002,41796.69861072,-90648.82193539999,50143.799943890015,-122469.65670290001,-4358.7691331299975,-29500.3119442,569784.5647135973,-2472.301837567473
8,-39918.84126677,199032.99734417006,-108008.13419847001,41522.023366700014,-28910.608133599988,-34133.426088880035,-83783.8679125,-6763.970449230008,-29662.77136482,561812.2484864742,-2466.419097687467
9,-40707.15410715001,197476.02639681002,-109035.29777897001,41244.65210159,-100554.31525839999,4510.201073410008,-127455.76302630002,-9192.779548130002,-29826.82537408,567513.1261815131,-2458.185098217451
10,-41273.68117671,196357.09728238004,-109773.47676507001,41045.31711428,-104131.02728040001,-38424.990799065985,-88089.49800020001,-10938.261837629998,-29944.724046250107,568741.0303724855,-2468.8259703574586
11,-41525.50915864,185216.03765991,-110101.60605377001,40956.710355200004,-56554.25140379999,-34648.35381577999,-130056.46448650002,-11714.14935643,-29997.131400230108,560334.6317448765,-2508.7526313874696
12,-41803.46253728001,147984.03160548024,-110463.77646767002,40858.91126283,6517.735680679696,3054.669904629951,-130939.78983110002,-12570.529794129998,-30054.975651690038,541789.3222382367,-2449.8822456974594
13,-41793.83457969,195329.75928254006,-110451.23133717001,40862.29890113999,-107414.96379370001,2230.708343550028,-130909.19254530001,-12540.865846229997,-30052.971999119967,557650.3819301426,-2555.14553794745
14,-41551.94111128001,195807.51517273998,-110136.04661807002,40947.41015892988,-39221.02075139999,2321.30645475,-130140.46423420002,-11795.586780529997,-30002.632094349945,567290.5549956709,-2479.2159476774686
15,-40876.548555400004,156474.79428719997,-109256.01701517001,41185.04993603006,-101623.77017440001,43880.217317970004,-127994.09218820001,-9714.687547329999,-29862.07767109992,567224.7379195392,-2529.7711853374494
16,-40139.2724305,157930.96428456996,-108295.35375367002,41444.46371319005,-30302.278251599997,46077.222031610014,-125651.05649600002,-7443.12368483,-29708.644797710003,571280.9311368614,-2525.9630187374714
17,-39501.835961020006,159189.94423894002,-107464.78054377002,41668.748477949994,-92944.65963139999,48432.64447472997,-123625.30745980002,-5479.167983930001,-29575.989330099896,569778.9896518067,-2446.029986227455
18,-39136.63975077,74494.56468109,-106988.93361127001,41797.24433601997,61444.40961200001,9254.80446958003,-81298.0610234,-4353.990474530005,-29499.98916951008,558023.2833560482,-2468.2603605174518
19,-39362.340594990004,-6542.876352389983,-107283.01950637001,41717.83052277006,60019.469894,146139.75762346006,-123181.99645250001,-5049.3797107300015,-29546.959263730096,561031.925379388,-2502.8664390074555
20,-40870.45987042,197153.48651655004,-109248.08352087002,-13062.807733980007,-62894.52586097999,-31847.342477075985,-127974.74257730001,-9695.928175929996,24389.18943141005,552554.2866761088,-2475.832127387461
