name,scn_name,bus,carrier,e_nom,e_initial,capital_cost,e_nom_opt
48639 CH4,eGon2035_lowflex,48639,CH4,103258761.6825082,43241929.529966675,0.0,103258761.6825082
48640 CH4,eGon2035_lowflex,48640,CH4,7796579.6970679015,3423474.5791607047,0.0,7796579.6970679015
48642 CH4,eGon2035_lowflex,48642,CH4,16558557.363773989,7223357.371045143,0.0,16558557.363773989
48643 CH4,eGon2035_lowflex,48643,CH4,4467164.898,1977480.7424711646,0.0,4467164.898
48644 CH4,eGon2035_lowflex,48644,CH4,110961282.95347735,44405097.68810905,0.0,110961282.95347735
48645 CH4,eGon2035_lowflex,48645,CH4,45093072.66459372,19014788.523645476,0.0,45093072.66459372
48647 CH4,eGon2035_lowflex,48647,CH4,98781272.36350779,40676136.52175347,0.0,98781272.36350779
48649 CH4,eGon2035_lowflex,48649,CH4,40085545.400267825,16496723.833475506,0.0,40085545.400267825
48650 CH4,eGon2035_lowflex,48650,CH4,3268835.936014453,1465195.8880915383,0.0,3268835.936014453
52087 CH4,eGon2035_lowflex,52087,CH4,264722068.94267517,75093680.07178128,0.0,264722068.94267517
52101 H2_overground,eGon2035_lowflex,52101,H2_overground,270090.8730489223,114712.48534481112,44.88727243648892,270090.8730489223
