,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,11 battery,11 pumped_hydro,12 battery,12 pumped_hydro,13 battery,13 pumped_hydro,14 battery,14 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,5 battery,5 pumped_hydro,6 battery,6 pumped_hydro,7 battery,9 battery,9 pumped_hydro
0,405.1508709495588,6.668553549216319,-5.72140615798779,-0.9852327987653551,-1661.327416356627,-1390.9959786328595,-1523.5744697532775,-930.2265162888699,-136.06921090678028,1845.8422498238192,9.147091951184205,1106.5411573823021,7.642718387887291,324.1651842264654,10.699409970903059,350.2501906570063,7.146036527882289,-712.7520327484154,-15.913934974663238,-0.7358713859875929,4948.811757834425,4003.759616648046,431.54699960970413,-291.1147584348802,-536.6844995587677
1,6.410146872033758,1.2281515827830023,-3.6110211056446033,-0.6111625576192261,-948.9911364247304,-1241.9552901033246,-971.9587421415551,-729.049140324298,-93.38913240465598,26.59258815041065,1.2146487497192968,16.625397173349313,0.9569272043243089,5.500537883218062,1.8538241454944453,7.983070690999577,0.6015101815258497,-433.4010081880958,-5.611270678737387,-0.41192324878277287,4948.73137232178,4003.630081743849,5.974427075792347,-154.81844729721112,-327.4835791427137
2,-433.76082467010167,-64.49303988502052,-1.2025691247915073,-0.2841630713280461,-726.0217084736703,-1744.9244500986779,-1445.5358824583614,-699.6487956124158,-73.81660623032134,-1291.6269199950034,-175.61789323629924,-854.4522241969767,-136.52594687126967,-377.6013857058642,-193.5539644429603,-392.0185871952729,-87.08076779188178,-435.0891272110995,6.42171359858343,-0.10453605296575708,4948.158069738246,2942.870572851482,-705.5698735395957,-212.88425153385523,-758.9674696930807
3,-535.4502540319561,-82.16235638010107,-0.8479606342189694,-0.24730602305071736,-727.3093563861794,-2349.6050084175045,-2010.849417717236,-702.1853370033367,-64.66454430391688,-2551.199469184481,-426.44978854944145,-1677.9888926992166,-268.481974430741,-444.11519414717014,-481.91469481942715,-402.05140860098334,-138.9177241136118,-486.94143717069596,7.082931042800322,-0.13537366166197673,2728.823029670538,-1.491376145920628,-1517.8600404724116,-465.3901753053013,-1183.8328220489964
4,-664.6692117735048,-89.29295285291842,-0.9838749662345485,-0.2952369930231602,-1034.3000937809466,-3018.74392435318,-2328.656924867235,-804.5640680876913,-59.682752490656505,-3823.2279937972357,-797.0854779294818,-2491.0245472184783,-396.5311989840626,-509.83735215786083,-1081.6633932663767,-477.8572705558261,-189.91463769152702,-563.9113285992456,6.771984503841761,-0.21706468603528117,-1028.553483641337,-916.1810931137877,-1701.1552464301217,-594.5501422810811,-1298.3989221137265
5,-767.9484730628387,-92.98562989249852,-1.3939730951093203,-0.35566455287521714,-991.1330139657462,-3305.4248052750345,-2523.5502056774494,-832.7588807866236,-56.72583176239983,-4330.139653200029,-1146.176559859537,-2837.5483528468753,-494.4082657468697,-550.1683071132792,-2214.1494948283635,-588.695680588178,-245.23797701127,-653.8051661263933,4.589540128238205,-0.2950156093310716,-3121.042371948565,-2326.4301539069115,-1759.6577468663802,-489.97598939774207,-1208.5882549984472
6,-592.547522630918,-89.53213843658473,-2.0367540863238496,-0.48579779063847495,-522.6496134580792,-2402.806946911785,-2104.542516611481,-606.3628344122493,-50.11441618945271,-3647.6175449989714,-1030.6883045307573,-2395.5924599287578,-456.9799480717204,-479.2378973427207,-1943.288161639126,-484.27502351843935,-246.0711976364563,-455.4847730798778,8.997610841460668,-0.41712315431553026,-4862.540542387012,-3900.516922327641,-1739.7880820398025,-99.40317030852512,-347.69827032485944
7,-422.0890756634445,-85.37430709822615,-2.6329423161188696,-0.6323210268928885,-430.57516912984056,-1532.7688728750513,-1228.14322139392,-503.7314506824253,-45.77256255267998,-2940.186387787376,-797.0618326034347,-1932.8173626686794,-392.683328109597,-382.95209100363843,-1244.1026874944985,-363.54259319156336,-224.4929954957046,-314.25895352760153,7.433439878091534,-0.5639725786504717,-4846.809853875026,-3882.3364671262334,-1694.058002935219,-80.19022926854335,-205.54860374495692
8,-115.81968603353447,-57.579574654690646,-4.38769822874813,-1.1106056870772636,-388.51551760127364,-844.592916140885,-496.4550114802502,-436.1076294279343,-42.11797455986146,-653.1388436927807,-178.2070853861997,-455.38517338341893,-134.76203101664987,-97.48163791367085,-222.2975587671544,-82.59224755973771,-99.18402484329988,-174.9816034848049,-8.07335257807942,-1.0648506966376732,-4054.243139365333,-3153.5106733941616,-251.5760803677315,-62.41197623404831,-154.4017186734189
9,-198.10569954101464,-72.76403171934011,-5.5012516155046285,-1.2446644822958626,-370.1705208465563,-747.8384087627805,-471.11456670327453,-394.9574584059954,-40.89615591641857,-971.5541387633616,-296.9343766078637,-744.4568848654709,-206.7567118399589,-163.1841496327109,-393.7695414999951,-213.67854214603793,-136.43223245469972,-171.5574730603263,-8.885831151965352,-1.1748656094238155,-404.18240077733833,-422.7737515581341,-635.0268469821897,-65.85188623041671,-157.2348467896444
