,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,43368876.07395846,3670255.5260263137,7337749.07414852,1984817.872725909,45682483.29523658,18917745.05524789,40959928.12723844,16867436.39731923,1476952.5226167894,76137496.70292518,175136.94823025033
1,43377638.10798045,3681998.7350026947,7352096.329416655,1990441.0074606864,45715461.12470951,18960000.300170846,40986087.242111415,16894401.607987043,1477162.4317158738,76210111.18050855,177691.2633239391
2,43385081.30204786,3693192.593869942,7356624.887310289,1995996.621677394,45744389.7412421,19000070.506767415,41010919.014409624,16919086.376106337,1476944.147124665,76308963.50835383,180198.76734065468
3,43389492.55772482,3697999.680440044,7356343.423177445,1999242.4941704995,45753145.396640025,19037878.24131491,41026144.94231484,16934569.37740677,1476897.8394479004,76398815.57219373,182677.04995808046
4,43388146.15834628,3690566.1963261715,7348957.47871455,2000245.8667304765,45723209.05192069,19066441.10027574,41021859.9960423,16931564.551998813,1475699.259052512,76481154.45641021,185189.29454396485
5,43385796.35045905,3679213.3789242413,7344007.5804341305,1999944.2015496246,45682964.76194996,19078479.072567068,41012417.598629035,16924047.24886205,1474906.6141033066,76531497.55261895,187649.89788907435
6,43383808.53322083,3670791.1801167997,7334473.180199226,2000401.5125511189,45649896.24437296,19085088.446529202,41007100.23385434,16920003.664257944,1473863.184079191,76555715.82985575,190102.43446009097
7,43382448.3084562,3663672.4515549215,7325889.584938705,2001087.3527271005,45621477.836174,19095195.46128003,41004444.56628033,16918346.554979857,1472948.6464362498,76588163.51605517,192560.1699754986
8,43381869.22205073,3658097.8871879075,7320938.348064262,2001925.7959477454,45598024.84146721,19107673.052193318,41004305.25173728,16919168.79933729,1472233.2931431253,76621516.46087451,195010.33409815648
9,43382619.492894985,3653257.9053681223,7323341.025606475,2002294.3743825008,45579250.77109843,19123862.31479535,41006299.695360415,16922517.619106807,1472397.0583691564,76621873.44507916,197452.48264726877
10,43383752.562976025,3649609.0048609856,7326478.275106679,2002790.225608995,45564014.54671887,19138649.54120608,41010029.21322544,16927649.92288232,1472718.5124151723,76622408.60365681,199905.6417484878
11,43384574.57237208,3647403.991053397,7324721.225977618,2003999.1786938794,45550481.48906071,19150140.87666936,41014850.06060579,16933489.649166062,1472457.4624326234,76651902.7853662,202398.63671450733
12,43385493.11129333,3645958.040708694,7322083.678953291,2005349.5642089995,45538584.47852914,19160805.408026755,41020451.53270021,16940180.231556144,1472222.5474827045,76703464.09306169,204832.70975479038
13,43386375.28860631,3644662.900953425,7319436.5261878045,2006704.6335674317,45526597.266952075,19171149.803467505,41025882.124224186,16946850.97149428,1471968.9378036961,76739564.71682559,207371.97496324204
14,43387147.83553305,3642828.9706113366,7317282.301998169,2007915.2911060597,45513167.72911472,19180542.368817076,41030510.303023756,16952798.696393225,1471696.5773289304,76764096.75989872,209834.4511439637
15,43387171.57554948,3639744.876654737,7314128.687128182,2008898.941171964,45495636.1500575,19192488.582028553,41032882.851425916,16956696.917012546,1471249.1977606833,76792193.12689911,212347.38393710973
16,43387012.31111904,3634477.6919019967,7314372.689132122,2009021.999433423,45473216.24697457,19200649.48599686,41032454.93994037,16958379.21478592,1471277.2142674674,76795875.96651824,214856.5616247587
17,43385844.320600905,3628855.2346041445,7310423.55738686,2009462.4947870837,45447157.0747924,19205507.07945015,41030149.63344181,16958067.840147387,1470574.714079258,76819687.09159362,217284.35991736018
18,43384872.215105996,3621960.9033039766,7309615.616103859,2009189.7037220008,45418375.19111946,19209455.804462314,41026156.23486832,16956659.50620615,1470424.698950708,76834518.08089042,219735.143583059
19,43383671.006497465,3616366.3586306344,7304102.247550869,2009579.8220730969,45391346.54761604,19208256.009250086,41023152.816185266,16955882.429532196,1469719.2380015505,76868265.06829719,222222.2017212968
20,43383864.30237611,3613942.3160147285,7300950.505528854,2010529.5505810357,45373973.36201937,19210861.545101464,41025022.78390974,16959750.839389425,1469301.7743141719,76910335.34810154,224680.5888635307
21,43387456.35487359,3616555.1513101864,7307132.654493223,2011801.5095273915,45374740.279543325,19220075.365507405,41035847.39525905,16972566.66164702,1470191.6276492516,76928380.22022618,227112.1743881261
22,43394185.75096553,3625912.143481642,7317503.598030272,2014275.8118352867,45397157.48891834,19235318.329208594,41057638.415732905,16995774.322915304,1471771.80204344,76950756.67739655,229622.5642433105
23,43402037.29386335,3639541.1780079934,7325023.393724312,2017966.4018283146,45430989.16941314,19245356.83920118,41085450.811427906,17024247.937516436,1473077.4336480994,77046642.18715587,232101.18071289046
24,43410129.91425111,3650315.7356263483,7337591.946547017,2019968.274975571,45460569.634625524,19251497.656394653,41108332.0542514,17049590.911286373,1474971.8306767645,77112323.66819339,234552.4618892041
25,43418363.78110227,3661427.6679399824,7351334.317394329,2021938.6624374585,45490870.42199083,19261761.755770903,41131433.481874324,17075284.520630088,1476932.9648147468,77177664.29540849,237041.72016085446
26,43425986.58813788,3670965.0060948543,7364601.248536722,2023544.0367191965,45516443.23018427,19275072.794136234,41151829.30337431,17098566.397859357,1478758.1758099594,77241379.27492945,239452.38859272332
27,43430735.65671334,3673890.0167240584,7373962.522193049,2023717.75232757,45521771.31520667,19294593.436521698,41160829.04944369,17111592.858863954,1479945.3061610197,77292984.46696493,241851.6405031311
28,43429865.43790563,3663854.827168203,7375902.03169884,2021094.6905876582,45487527.272761784,19311698.145842984,41147640.47660129,17104594.90685416,1479889.0745226936,77338009.23536204,244303.17910717882
29,43427633.51359888,3650990.289576591,7376147.463629417,2017773.6589667846,45443361.295944944,19305134.563447855,41128918.32065681,17092562.370111603,1479527.4194680566,77368253.3425808,246616.03219157163
30,43426470.57244806,3640737.4942937777,7376968.933057526,2015034.390997918,45406360.24560798,19292686.693344697,41114185.00471411,17084209.72928907,1479360.5148517317,77341720.97105557,248918.68305962812
31,43425550.26844448,3633095.4233800503,7373322.9326299215,2013284.6973582022,45374461.764356196,19283595.254456613,41102467.02891791,17078286.923432693,1478712.1739244375,77344572.30506682,251256.9617773899
32,43425362.7970602,3627202.0497999135,7371486.053453046,2011881.9499287077,45347655.8218653,19277575.165991493,41093572.2530002,17074972.108831596,1478235.0011644906,77355044.3146791,253561.84603825732
33,43426519.82556525,3622391.0108174193,7376523.440068886,2010152.0487719746,45325777.66496284,19272399.60722628,41087084.26503999,17074352.45020877,1478622.430518561,77335247.63300347,255885.04299641913
34,43428108.92905743,3618811.849194746,7382348.237242635,2008668.862659533,45307713.63683548,19271148.966740616,41082755.430594504,17075638.438070893,1479137.6899744766,77317383.84995607,258270.37401513706
35,43430015.4049263,3615673.049946526,7388051.298111278,2007337.1732055328,45291363.00938843,19274198.492267672,41079525.10131514,17077750.100696433,1479681.2534298284,77308239.77805671,260590.6029091364
36,43431737.04642225,3614046.5978992283,7389405.780077829,2006727.2465575573,45277103.71242121,19277557.24310945,41077609.17414245,17080725.808381885,1479671.8465421726,77340505.67036062,262981.5332940014
