,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,45911947.08805892,3636811.7378932247,7311391.017952269,1965433.2837804824,50040333.182532854,19275000.7789293,43804029.7366335,17113573.77944206,1435601.3982290474,103047725.46077642,160485.92992026667
1,45896769.92499544,3579493.6863598824,7279891.421073118,1961506.2180267628,49835122.63536864,19322676.99251677,43753813.042437926,17076646.34222321,1431950.7027557723,103597027.60675825,172758.55171970432
2,45900187.27329049,3562345.024323031,7276661.006214794,1964508.2322374482,49757244.68913294,19404664.791203506,43766119.69222183,17101292.292080257,1433078.2017798543,104278061.0425756,184994.38570100497
3,45901770.43256543,3538626.3290144647,7270227.821405375,1966975.4140522315,49666025.80510032,19503982.67205834,43772849.19260786,17119687.5923979,1433979.0992774798,105110151.89953895,197533.05072699796
4,45903387.27174148,3519145.1825160994,7262238.405811516,1969636.2130212446,49574870.94239431,19580103.363646735,43781034.56361963,17137895.030750267,1434885.1500129416,106077489.31881489,209779.33592232194
5,45941204.33565752,3573418.522260836,7303400.552010182,1981593.2949165388,49722630.719215825,19610778.536566235,43897340.21495221,17264677.46869604,1443685.5856473893,107331091.75916207,222184.99474220967
6,45931449.57713842,3518646.5503675155,7277687.462990198,1970132.0356519576,49535063.723213814,19565617.622719646,43824831.49813707,17221443.65560636,1441682.3696605375,108201407.41586348,233676.73278530684
7,45937135.853379786,3500623.17848903,7270187.710143388,1966289.1386452653,49451604.8645615,19593606.52997829,43810218.58716462,17230510.520231478,1442691.1827004603,109207182.81758612,245025.16023682823
8,45935398.20791945,3466669.875251557,7255370.287457515,1958971.1737349806,49317978.16258202,19512407.46312618,43767767.81994719,17216432.082252577,1442579.3347676464,110078905.5665095,231579.418045638
9,45951813.96353296,3471825.763506218,7267794.847523461,1959921.4440021534,49303604.86195015,19292205.60156527,43789978.17359259,17262594.824535158,1446414.1311550855,110993191.66840684,216971.19838091062
10,45980753.449118,3522835.417662744,7303731.712745315,1968742.815849509,49374717.001985475,19307451.69838869,43874737.28914913,17358123.516353168,1452893.6859509507,112228510.60114875,197761.0684400742
11,45937206.37049188,3481132.1956087076,7326162.610560229,1954882.359319009,49115669.30383903,19109050.82543762,43761443.14558993,17292847.681248564,1450031.7801403224,112995242.02286345,172828.74606061133
12,45906510.00737467,3469811.5719234045,7356944.2756412905,1948032.9427316373,48955257.40073281,18947872.948554095,43720015.12422569,17276887.478598602,1449309.4180502114,113707953.83790725,148010.9334981181
13,45863358.60783034,3433218.604354706,7367880.463333917,1935633.5859801266,48706917.991892576,18651762.640564267,43563913.102244176,17218015.036049243,1445528.7027905956,113929490.283846,123160.41929182684
14,45861208.45886945,3480934.7532710135,7422192.1856666645,1942596.2425509496,48748499.64536834,18436052.70241536,43587647.74132205,17301198.17921141,1450272.2372720104,113768988.82116966,98767.53201903551
15,45865298.83729272,3487507.674478822,7411098.389465119,1949649.7310675296,48692625.92118354,18634447.04058683,43603592.63751196,17318717.569053274,1450222.7139671247,113510939.17107321,74284.86615706276
16,45839906.91602376,3434933.8051248277,7363059.323526054,1946772.0624026991,48449062.90289341,18691071.876280278,43523161.93275963,17237890.908495918,1443851.2600501892,112832099.15640695,49301.65840077481
17,45826680.86455005,3403726.173453854,7329926.936899492,1947596.9399236669,48280453.49095741,18791773.073696747,43481014.73329014,17194562.526931614,1440139.687798262,112380279.20977396,24649.423470918675
18,45796646.75253908,3339732.804181432,7276510.875522824,1942810.2780074272,48009170.0586848,18854815.339547757,43386372.45392462,17097706.940978285,1433111.660930003,112122245.67259188,0.23124194085999383
19,45824393.62466147,3392718.0747873173,7305624.279861354,1957477.049123571,48113612.97442479,19045553.81105927,43486572.10028568,17197699.136788763,1439520.9851423819,112418455.82320975,6.629654411407557
20,45793328.124392375,3329148.541483712,7253274.340921388,1949892.6369181252,47966543.35844151,19166635.35703946,43373534.340702675,17058621.62214262,1434156.770253826,112845296.98316099,11309.21764984473
21,45773309.556437895,3286659.7257350734,7217956.938141548,1946256.450572203,47878940.279365525,19199517.148576822,43301589.763897516,16962101.09292638,1431350.4919857893,113103461.19630803,22442.941921063582
22,45758385.0977706,3252297.7476758207,7192062.1890142495,1944248.044280122,47817305.24246342,19266671.922472857,43248205.60009345,16883986.623313136,1429731.9476633316,113470213.7894588,34131.8911948921
23,45730842.04175323,3189915.2879073657,7149513.805431088,1937448.0443691113,47689525.07147158,19274553.257825382,43152334.60732428,16758083.90744464,1425637.0291029378,113686293.022968,45844.79404627224
24,45765396.03516798,3272904.985587794,7192732.351553275,1951175.4148039112,47974034.32257293,19453693.134107526,43293243.66853666,16856948.691340685,1434508.0760889412,113905718.41531287,57899.53930823849
