snapshot_position,bidding_zone,day_ahead_price_eur_per_mwh,ets_price_eur_per_tco2,low_price_threshold_eur_per_mwh,low_price_exception,ppa_additionality_ok,geographical_correlation_ok,temporal_correlation_ok,rfnbo_eligible
0,11,,,,0,0,0,0,0
0,12,,,,0,0,0,0,0
0,13,,,,0,0,0,0,0
0,14,,,,0,0,0,0,0
0,15,,,,0,0,0,0,0
1,11,,,,0,0,0,0,0
1,12,,,,0,0,0,0,0
1,13,,,,0,0,0,0,0
1,14,,,,0,0,0,0,0
1,15,,,,0,0,0,0,0
2,11,,,,0,0,0,0,0
2,12,,,,0,0,0,0,0
2,13,,,,0,0,0,0,0
2,14,,,,0,0,0,0,0
2,15,,,,0,0,0,0,0
3,11,,,,0,0,0,0,0
3,12,,,,0,0,0,0,0
3,13,,,,0,0,0,0,0
3,14,,,,0,0,0,0,0
3,15,,,,0,0,0,0,0
4,11,,,,0,0,0,0,0
4,12,,,,0,0,0,0,0
4,13,,,,0,0,0,0,0
4,14,,,,0,0,0,0,0
4,15,,,,0,0,0,0,0
5,11,,,,0,0,0,0,0
5,12,,,,0,0,0,0,0
5,13,,,,0,0,0,0,0
5,14,,,,0,0,0,0,0
5,15,,,,0,0,0,0,0
6,11,,,,0,0,0,0,0
6,12,,,,0,0,0,0,0
6,13,,,,0,0,0,0,0
6,14,,,,0,0,0,0,0
6,15,,,,0,0,0,0,0
7,11,,,,0,0,0,0,0
7,12,,,,0,0,0,0,0
7,13,,,,0,0,0,0,0
7,14,,,,0,0,0,0,0
7,15,,,,0,0,0,0,0
8,11,,,,0,0,0,0,0
8,12,,,,0,0,0,0,0
8,13,,,,0,0,0,0,0
8,14,,,,0,0,0,0,0
8,15,,,,0,0,0,0,0
9,11,,,,0,0,0,0,0
9,12,,,,0,0,0,0,0
9,13,,,,0,0,0,0,0
9,14,,,,0,0,0,0,0
9,15,,,,0,0,0,0,0
10,11,,,,0,0,0,0,0
10,12,,,,0,0,0,0,0
10,13,,,,0,0,0,0,0
10,14,,,,0,0,0,0,0
10,15,,,,0,0,0,0,0
11,11,,,,0,0,0,0,0
11,12,,,,0,0,0,0,0
11,13,,,,0,0,0,0,0
11,14,,,,0,0,0,0,0
11,15,,,,0,0,0,0,0
12,11,,,,0,0,0,0,0
12,12,,,,0,0,0,0,0
12,13,,,,0,0,0,0,0
12,14,,,,0,0,0,0,0
12,15,,,,0,0,0,0,0
13,11,,,,0,0,0,0,0
13,12,,,,0,0,0,0,0
13,13,,,,0,0,0,0,0
13,14,,,,0,0,0,0,0
13,15,,,,0,0,0,0,0
14,11,,,,0,0,0,0,0
14,12,,,,0,0,0,0,0
14,13,,,,0,0,0,0,0
14,14,,,,0,0,0,0,0
14,15,,,,0,0,0,0,0
15,11,,,,0,0,0,0,0
15,12,,,,0,0,0,0,0
15,13,,,,0,0,0,0,0
15,14,,,,0,0,0,0,0
15,15,,,,0,0,0,0,0
16,11,,,,0,0,0,0,0
16,12,,,,0,0,0,0,0
16,13,,,,0,0,0,0,0
16,14,,,,0,0,0,0,0
16,15,,,,0,0,0,0,0
17,11,,,,0,0,0,0,0
17,12,,,,0,0,0,0,0
17,13,,,,0,0,0,0,0
17,14,,,,0,0,0,0,0
17,15,,,,0,0,0,0,0
18,11,,,,0,0,0,0,0
18,12,,,,0,0,0,0,0
18,13,,,,0,0,0,0,0
18,14,,,,0,0,0,0,0
18,15,,,,0,0,0,0,0
19,11,,,,0,0,0,0,0
19,12,,,,0,0,0,0,0
