bus,cluster,foreign,medoid_idx
0,15,,
1,12,,
10,13,,
11,14,,
12,11,,
13,12,,
14,14,,
15,12,,
16,15,,
17,12,,
18,13,,
19,14,,
2,11,,
20,12,,
21,11,,
22,14,,
23,11,,
24,11,,
25,12,,
26,15,,
27,13,,
28,13,,
29,12,,
3,13,,
30,13,,
31,12,,
32,11,,
33,11,,
34,12,,
35,11,,
4,13,,
43775,0,43775,
43776,1,43776,
43777,2,43777,
43778,3,43778,
43779,4,43779,
43780,4,43780,
43781,5,43781,
43782,6,43782,
43783,6,43783,
43784,13,43784,
43785,7,43785,
43786,8,43786,
43787,9,43787,
43788,10,43788,
5,12,,
6,11,,
7,13,,
8,11,,
9,11,,
