name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,42664,dsm,365.22235420916206,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,365.22235420916206,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
1,eGon2035,0,48700,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,0.7,0.0,0.0,0.0,2.1160557031185074e-09,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
2,eGon2035,0,52042,rural_heat_pump,3159.7684412343287,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3159.7684412343287,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
3,eGon2035,0,69929,BEV_charger,5371.374979764223,False,inf,0.0,0.0,,0.9000000000000001,0.0,0.0,0.0,5371.374979764223,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
4,eGon2035,0,70812,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,0.7,0.0,0.0,0.0,2.221839643700865e-09,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
5,eGon2035,0,70822,central_heat_pump,8.11657181250032,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,8.11657181250032,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
6,eGon2035,0,70822,central_resistive_heater,14.800535649825676,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,14.800535649825676,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
7,eGon2035,0,70827,central_heat_pump,1.584932339691605,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.584932339691605,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
8,eGon2035,0,70827,central_resistive_heater,3.381852528356746,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.381852528356746,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
9,eGon2035,1,42708,dsm,161.71865762765782,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,161.71865762765782,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
10,eGon2035,1,48718,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,0.7,0.0,0.0,0.0,2.05877895777882e-09,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
11,eGon2035,1,50808,central_heat_pump,1.4129549718397316,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.4129549718397316,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
12,eGon2035,1,50808,central_resistive_heater,1.83421570005984,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.83421570005984,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
13,eGon2035,1,52074,rural_heat_pump,1535.9060998265397,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1535.9060998265397,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
14,eGon2035,1,70292,BEV_charger,2568.179854929447,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,2568.179854929447,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
15,eGon2035,1,70812,power_to_H2,0.0,True,inf,27.453818651332433,0.0,,0.7,0.0,0.0,0.0,2.014966640770701e-09,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
16,eGon2035,1,70818,central_heat_pump,37.209915378922425,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,37.209915378922425,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
17,eGon2035,1,70818,central_resistive_heater,24.496692362775967,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,24.496692362775967,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
18,eGon2035,10,42528,dsm,278.7699941198027,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,278.7699941198027,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
