name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035,0,battery,0.0,True,1193.5550148702857,1.0,73.93112615104819,True,6.0,0.9797958971132713,0.9797958971132713,PV,1193.5550148705108
0 pumped_hydro,eGon2035,0,pumped_hydro,625.0,False,0.0,1.0,0.0,True,6.000000000000001,0.8660254037844386,0.8660254037844386,PV,625.0
1 battery,eGon2035,1,battery,0.0,True,713.2984869320396,1.0,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,713.2984869322646
1 pumped_hydro,eGon2035,1,pumped_hydro,1991.1,False,0.0,1.0,0.0,True,6.0,0.8660254037844387,0.8660254037844387,PV,1991.1
10 battery,eGon2035,10,battery,0.0,True,1122.451245917414,1.0,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,1122.4512459176392
10 pumped_hydro,eGon2035,10,pumped_hydro,220.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,220.0
11 battery,eGon2035,11,battery,0.0,True,2505.4116930859186,0.9999999999999999,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,2505.4116930861437
11 pumped_hydro,eGon2035,11,pumped_hydro,322.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,322.0
12 battery,eGon2035,12,battery,0.0,True,2266.2298674989834,1.0,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,2266.22986749922
12 pumped_hydro,eGon2035,12,pumped_hydro,303.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,303.0
13 battery,eGon2035,13,battery,0.0,True,1525.453655980541,1.0,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,1525.4536559807661
13 pumped_hydro,eGon2035,13,pumped_hydro,28.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,28.0
14 battery,eGon2035,14,battery,0.0,True,221.16223304072048,1.0,73.93112615104819,True,6.0,0.9797958971132713,0.9797958971132713,PV,221.16223304095183
15 battery,eGon2035,15,battery,0.0,True,816.5688821253613,1.0,73.9311261510482,True,6.0,0.9797958971132712,0.9797958971132712,PV,816.5688821255862
15 pumped_hydro,eGon2035,15,pumped_hydro,1045.2,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,1045.2
2 battery,eGon2035,2,battery,0.0,True,1426.676265581184,1.0,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,1426.676265581409
2 pumped_hydro,eGon2035,2,pumped_hydro,920.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,920.0
3 battery,eGon2035,3,battery,0.0,True,832.4512279476966,1.0,73.93112615104819,True,6.0,0.9797958971132712,0.9797958971132712,PV,832.4512279479216
3 pumped_hydro,eGon2035,3,pumped_hydro,39.8,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,39.8
4 battery,eGon2035,4,battery,0.0,True,503.541609038554,1.0,73.93112615104819,True,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,503.54160903879034
4 pumped_hydro,eGon2035,4,pumped_hydro,119.1,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,119.1
43775 battery,eGon2035,43775,battery,1767.57494945,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,PV,1767.57494945
43775 pumped_hydro,eGon2035,43775,pumped_hydro,300.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,300.0
43776 battery,eGon2035,43776,battery,1350.0,False,0.0,1.0,0.0,True,6.0,0.9797958971132712,0.9797958971132712,PV,1350.0
43776 pumped_hydro,eGon2035,43776,pumped_hydro,1395.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,1395.0
