name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
41276 dsm,eGon2035,41276,dsm,184.93252157774623,False,inf,0.0,False,0.0,184.93252157774623
41288 dsm,eGon2035,41288,dsm,367.8339591391965,False,inf,0.0,False,0.0,367.8339591391965
41526 dsm,eGon2035,41526,dsm,84.56397431586605,False,inf,0.0,False,0.0,84.56397431586605
41530 dsm,eGon2035,41530,dsm,278.3517618513834,False,inf,0.0,False,0.0,278.3517618513834
41544 dsm,eGon2035,41544,dsm,250.39402684323824,False,inf,0.0,False,0.0,250.39402684323824
42514 dsm,eGon2035,42514,dsm,65.34849379404572,False,inf,0.0,False,0.0,65.34849379404572
42528 dsm,eGon2035,42528,dsm,308.71391814430444,False,inf,0.0,False,0.0,308.71391814430444
42658 dsm,eGon2035,42658,dsm,546.6273547017553,False,inf,0.0,False,0.0,546.6273547017553
42664 dsm,eGon2035,42664,dsm,428.24502100775965,False,inf,0.0,False,0.0,428.24502100775965
42704 dsm,eGon2035,42704,dsm,63.97922320172224,False,inf,0.0,False,0.0,63.97922320172224
42708 dsm,eGon2035,42708,dsm,179.26415044316246,False,inf,0.0,False,0.0,179.26415044316246
42816 dsm,eGon2035,42816,dsm,160.26779751346294,False,inf,0.0,False,0.0,160.26779751346294
43542 dsm,eGon2035,43542,dsm,558.8204021559117,False,inf,0.0,False,0.0,558.8204021559117
43544 dsm,eGon2035,43544,dsm,973.9782836563764,False,inf,0.0,False,0.0,973.9782836563764
43546 dsm,eGon2035,43546,dsm,473.5454175955571,False,inf,0.0,False,0.0,473.5454175955571
43744 dsm,eGon2035,43744,dsm,1232.7581278434272,False,inf,0.0,False,0.0,1232.7581278434272
48639 CH4,eGon2035,48639,CH4,103258761.6825082,False,inf,0.0,True,0.0,103258761.6825082
48640 CH4,eGon2035,48640,CH4,7796579.6970679015,False,inf,0.0,True,0.0,7796579.6970679015
48642 CH4,eGon2035,48642,CH4,16558557.363773989,False,inf,0.0,True,0.0,16558557.363773989
48643 CH4,eGon2035,48643,CH4,4467164.898,False,inf,0.0,True,0.0,4467164.898
48644 CH4,eGon2035,48644,CH4,110961282.95347735,False,inf,0.0,True,0.0,110961282.95347735
48645 CH4,eGon2035,48645,CH4,45093072.66459372,False,inf,0.0,True,0.0,45093072.66459372
48647 CH4,eGon2035,48647,CH4,98781272.36350779,False,inf,0.0,True,0.0,98781272.36350779
48649 CH4,eGon2035,48649,CH4,40085545.400267825,False,inf,0.0,True,0.0,40085545.400267825
48650 CH4,eGon2035,48650,CH4,3268835.936014453,False,inf,0.0,True,0.0,3268835.936014453
48653 H2_underground,eGon2035,48653,H2_underground,0.0,True,167289.005498628,0.0,True,0.10065124614342966,8.26452305253576e-07
48679 H2_underground,eGon2035,48679,H2_underground,0.0,True,229516.91898526796,0.0,True,0.10065124614342966,8.264490287956949e-07
48680 H2_underground,eGon2035,48680,H2_underground,0.0,True,282270.1872258718,0.0,True,0.10065124614342966,8.264476495015551e-07
48695 H2_underground,eGon2035,48695,H2_underground,0.0,True,1167513.9487965691,0.0,True,0.10065124614342966,8.264426384094279e-07
48697 H2_underground,eGon2035,48697,H2_underground,0.0,True,28100.85272722856,0.0,True,0.10065124614342966,8.265059437363373e-07
48700 H2_underground,eGon2035,48700,H2_underground,0.0,True,226882.18843537738,0.0,True,0.10065124614342966,8.264491351638427e-07
48707 H2_underground,eGon2035,48707,H2_underground,0.0,True,244200.5683951289,0.0,True,0.10065124614342966,8.264487835492719e-07
48717 H2_underground,eGon2035,48717,H2_underground,0.0,True,190705.09381304946,0.0,True,0.10065124614342966,8.264508258872504e-07
48718 H2_underground,eGon2035,48718,H2_underground,0.0,True,125301.50704531276,0.0,True,0.10065124614342964,8.264557612449284e-07
48763 H2_underground,eGon2035,48763,H2_underground,0.0,True,4374325.826743443,0.0,True,0.10065124614342964,8.264416017337997e-07
48810 H2_underground,eGon2035,48810,H2_underground,0.0,True,1080649.0590576052,0.0,True,0.10065124614342966,8.264427086874127e-07
64835 central_heat_store,eGon2035,64835,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879670436863807e-06
64947 central_heat_store,eGon2035,64947,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.187967853650022e-06
65868 central_heat_store,eGon2035,65868,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.187969277199885e-06
66067 rural_heat_store,eGon2035,66067,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.314934114060058e-08
66068 rural_heat_store,eGon2035,66068,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.419370596733615e-08
66069 rural_heat_store,eGon2035,66069,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.6414032998909615e-08
66070 rural_heat_store,eGon2035,66070,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.790203017135481e-08
66071 rural_heat_store,eGon2035,66071,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.3381424972008346e-08
66079 rural_heat_store,eGon2035,66079,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.330998764405175e-08
66080 rural_heat_store,eGon2035,66080,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.5806842236023805e-08
66082 rural_heat_store,eGon2035,66082,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.316781657415206e-08
66085 rural_heat_store,eGon2035,66085,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.564225640299043e-08
66086 rural_heat_store,eGon2035,66086,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.474365680936352e-08
66088 rural_heat_store,eGon2035,66088,rural_heat_store,0.0,True,inf,0.0,False,1.683628712973637,4.3733793584495274e-08
66091 rural_heat_store,eGon2035,66091,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.616266309510862e-08
66096 rural_heat_store,eGon2035,66096,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.3264936841641615e-08
66101 rural_heat_store,eGon2035,66101,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,3.399754098797498e-08
66111 rural_heat_store,eGon2035,66111,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,4.649242380079727e-08
66113 rural_heat_store,eGon2035,66113,rural_heat_store,0.0,True,inf,0.0,False,1.6836287129736367,4.328622226962612e-08
69914 battery_storage,eGon2035,69914,battery_storage,42611.638,False,inf,33534.96946962668,False,0.0,42611.638
69915 battery_storage,eGon2035,69915,battery_storage,56105.01,False,inf,43976.9709348971,False,0.0,56105.01
69920 battery_storage,eGon2035,69920,battery_storage,73847.19,False,inf,58239.01919973052,False,0.0,73847.19
69924 battery_storage,eGon2035,69924,battery_storage,55065.588,False,inf,43332.17460945931,False,0.0,55065.588
69925 battery_storage,eGon2035,69925,battery_storage,142687.076,False,inf,112245.16053043751,False,0.0,142687.076
69929 battery_storage,eGon2035,69929,battery_storage,76829.19,False,inf,60665.00298228728,False,0.0,76829.19
69931 battery_storage,eGon2035,69931,battery_storage,135490.172,False,inf,106994.66861620253,False,0.0,135490.172
69958 battery_storage,eGon2035,69958,battery_storage,82702.408,False,inf,65194.38840586141,False,0.0,82702.408
70054 battery_storage,eGon2035,70054,battery_storage,29432.334,False,inf,23161.851366348077,False,0.0,29432.334
70058 battery_storage,eGon2035,70058,battery_storage,71966.794,False,inf,56929.633602995455,False,0.0,71966.794
70154 battery_storage,eGon2035,70154,battery_storage,8965.738,False,inf,7073.005737980316,False,0.0,8965.738
70292 battery_storage,eGon2035,70292,battery_storage,35227.906,False,inf,27804.977999436334,False,0.0,35227.906
70304 battery_storage,eGon2035,70304,battery_storage,38369.668,False,inf,30151.8438475981,False,0.0,38369.668
70310 battery_storage,eGon2035,70310,battery_storage,11226.789999999999,False,inf,8892.307348506603,False,0.0,11226.789999999999
70512 battery_storage,eGon2035,70512,battery_storage,37355.288,False,inf,29432.133757032003,False,0.0,37355.288
70797 battery_storage,eGon2035,70797,battery_storage,17562.09,False,inf,13834.66735178684,False,0.0,17562.09
70798 CH4,eGon2035,70798,CH4,264722068.94267517,False,inf,0.0,True,0.0,264722068.94267517
70812 H2_overground,eGon2035,70812,H2_overground,0.0,True,inf,0.0,True,2.6718614545529116,146.01883940078636
70833 central_heat_store,eGon2035,70833,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879674350764261e-06
70834 central_heat_store,eGon2035,70834,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.187965148581431e-06
70835 central_heat_store,eGon2035,70835,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.8210909175668186e-06
70836 central_heat_store,eGon2035,70836,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.187970298633257e-06
70837 central_heat_store,eGon2035,70837,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879642853520212e-06
70838 central_heat_store,eGon2035,70838,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879681488149562e-06
70839 central_heat_store,eGon2035,70839,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.187968308867483e-06
70840 central_heat_store,eGon2035,70840,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.187967592727662e-06
70841 central_heat_store,eGon2035,70841,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879632111667926e-06
70842 central_heat_store,eGon2035,70842,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.8352249291253998e-06
70843 central_heat_store,eGon2035,70843,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879665233246323e-06
70844 central_heat_store,eGon2035,70844,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.18796764674977e-06
70845 central_heat_store,eGon2035,70845,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879677845481797e-06
70846 central_heat_store,eGon2035,70846,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.8260451899985725e-06
70847 central_heat_store,eGon2035,70847,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879691648637464e-06
70848 central_heat_store,eGon2035,70848,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.1879653529912708e-06
70849 central_heat_store,eGon2035,70849,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.196963491769407e-06
70850 central_heat_store,eGon2035,70850,central_heat_store,0.0,True,inf,0.0,False,0.042117897026939945,1.798398782597993e-06
