name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
38030 dsm,eGon2035,38030,dsm,2.749002882383339,False,inf,0.0,False,0.0,2.749002882383339
39240 dsm,eGon2035,39240,dsm,0.18876178748504002,False,inf,0.0,False,0.0,0.18876178748504002
39242 dsm,eGon2035,39242,dsm,0.1323252919043061,False,inf,0.0,False,0.0,0.1323252919043061
39310 dsm,eGon2035,39310,dsm,0.44699218663258256,False,inf,0.0,False,0.0,0.44699218663258256
39344 dsm,eGon2035,39344,dsm,0.17784744727459073,False,inf,0.0,False,0.0,0.17784744727459073
39346 dsm,eGon2035,39346,dsm,0.1520720720167589,False,inf,0.0,False,0.0,0.1520720720167589
39370 dsm,eGon2035,39370,dsm,0.10207896444845323,False,inf,0.0,False,0.0,0.10207896444845323
39388 dsm,eGon2035,39388,dsm,0.021448604798159857,False,inf,0.0,False,0.0,0.021448604798159857
39446 dsm,eGon2035,39446,dsm,0.4739863416019181,False,inf,0.0,False,0.0,0.4739863416019181
40222 dsm,eGon2035,40222,dsm,0.14723079756424304,False,inf,0.0,False,0.0,0.14723079756424304
41066 dsm,eGon2035,41066,dsm,0.02964273962195872,False,inf,0.0,False,0.0,0.02964273962195872
41276 dsm,eGon2035,41276,dsm,1165.9070820904255,False,inf,0.0,False,0.0,1165.9070820904255
41278 dsm,eGon2035,41278,dsm,242.62264892499218,False,inf,0.0,False,0.0,242.62264892499218
41288 dsm,eGon2035,41288,dsm,629.2121484092213,False,inf,0.0,False,0.0,629.2121484092213
41382 dsm,eGon2035,41382,dsm,33.01542803018291,False,inf,0.0,False,0.0,33.01542803018291
41384 dsm,eGon2035,41384,dsm,12.914537750066083,False,inf,0.0,False,0.0,12.914537750066083
41438 dsm,eGon2035,41438,dsm,0.01740257784904596,False,inf,0.0,False,0.0,0.01740257784904596
41516 dsm,eGon2035,41516,dsm,56.14030347134497,False,inf,0.0,False,0.0,56.14030347134497
41530 dsm,eGon2035,41530,dsm,58.18318553634009,False,inf,0.0,False,0.0,58.18318553634009
41544 dsm,eGon2035,41544,dsm,240.42081903704863,False,inf,0.0,False,0.0,240.42081903704863
42226 dsm,eGon2035,42226,dsm,0.031342445323461816,False,inf,0.0,False,0.0,0.031342445323461816
42248 dsm,eGon2035,42248,dsm,0.07873283356315355,False,inf,0.0,False,0.0,0.07873283356315355
42492 dsm,eGon2035,42492,dsm,9.349757568498228,False,inf,0.0,False,0.0,9.349757568498228
42514 dsm,eGon2035,42514,dsm,70.15668968444164,False,inf,0.0,False,0.0,70.15668968444164
42584 dsm,eGon2035,42584,dsm,0.05373337817716692,False,inf,0.0,False,0.0,0.05373337817716692
42656 dsm,eGon2035,42656,dsm,29.40209470662921,False,inf,0.0,False,0.0,29.40209470662921
42664 dsm,eGon2035,42664,dsm,259.1470888755254,False,inf,0.0,False,0.0,259.1470888755254
42680 dsm,eGon2035,42680,dsm,158.84247408333837,False,inf,0.0,False,0.0,158.84247408333837
42704 dsm,eGon2035,42704,dsm,68.7112985776212,False,inf,0.0,False,0.0,68.7112985776212
42708 dsm,eGon2035,42708,dsm,275.7085834533878,False,inf,0.0,False,0.0,275.7085834533878
42710 dsm,eGon2035,42710,dsm,4.000282648260389,False,inf,0.0,False,0.0,4.000282648260389
42806 dsm,eGon2035,42806,dsm,361.4077547239881,False,inf,0.0,False,0.0,361.4077547239881
42816 dsm,eGon2035,42816,dsm,122.86779127479663,False,inf,0.0,False,0.0,122.86779127479663
43174 dsm,eGon2035,43174,dsm,0.25607374184371234,False,inf,0.0,False,0.0,0.25607374184371234
43216 dsm,eGon2035,43216,dsm,0.0008397606054347909,False,inf,0.0,False,0.0,0.0008397606054347909
43218 dsm,eGon2035,43218,dsm,11.648733936571977,False,inf,0.0,False,0.0,11.648733936571977
43282 dsm,eGon2035,43282,dsm,0.7156331030442231,False,inf,0.0,False,0.0,0.7156331030442231
43330 dsm,eGon2035,43330,dsm,4.347248450953988,False,inf,0.0,False,0.0,4.347248450953988
43542 dsm,eGon2035,43542,dsm,576.6010906961124,False,inf,0.0,False,0.0,576.6010906961124
43544 dsm,eGon2035,43544,dsm,1042.6168138043233,False,inf,0.0,False,0.0,1042.6168138043233
43546 dsm,eGon2035,43546,dsm,572.7884392093425,False,inf,0.0,False,0.0,572.7884392093425
43742 dsm,eGon2035,43742,dsm,145.76936610294018,False,inf,0.0,False,0.0,145.76936610294018
43746 dsm,eGon2035,43746,dsm,0.00624298589753563,False,inf,0.0,False,0.0,0.00624298589753563
43752 dsm,eGon2035,43752,dsm,0.06138279652751395,False,inf,0.0,False,0.0,0.06138279652751395
48639 CH4,eGon2035,48639,CH4,103258761.6825082,False,inf,0.0,True,0.0,103258761.6825082
48640 CH4,eGon2035,48640,CH4,7796579.6970679015,False,inf,0.0,True,0.0,7796579.6970679015
48642 CH4,eGon2035,48642,CH4,16558557.363773989,False,inf,0.0,True,0.0,16558557.363773989
48643 CH4,eGon2035,48643,CH4,4467164.898,False,inf,0.0,True,0.0,4467164.898
