name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,geom,topo,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime
0,eGon2035,0,43544,dsm,849.0365121147663,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,849.0365121147663,,0.0,
1,eGon2035,0,48697,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,6.531285549050223e-07,,0.0,31.0
2,eGon2035,0,48871,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.00299023367495132,,0.0,31.0
3,eGon2035,0,48872,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003038129963946477,,0.0,31.0
4,eGon2035,0,48873,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002957343460251992,,0.0,31.0
5,eGon2035,0,48874,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002974180581393454,,0.0,31.0
6,eGon2035,0,48875,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9997363579784148,,0.0,31.0
7,eGon2035,0,48876,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003054342796570763,,0.0,31.0
8,eGon2035,0,48877,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029893908450647506,,0.0,31.0
9,eGon2035,0,48878,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,34.84873948854427,,0.0,31.0
10,eGon2035,0,48879,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0028136778638234656,,0.0,31.0
11,eGon2035,0,48880,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031339943582831577,,0.0,31.0
12,eGon2035,0,48881,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002661191091565025,,0.0,31.0
13,eGon2035,0,48882,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9992554820639333,,0.0,31.0
14,eGon2035,0,48883,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002479688338525984,,0.0,31.0
15,eGon2035,0,48884,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003037090589783539,,0.0,31.0
16,eGon2035,0,48885,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.002669975669964162,,0.0,31.0
17,eGon2035,0,48886,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9960771910446469,,0.0,31.0
18,eGon2035,0,48887,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003044595646266057,,0.0,31.0
19,eGon2035,0,48888,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9994460161759267,,0.0,31.0
20,eGon2035,0,48889,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003105331695996352,,0.0,31.0
21,eGon2035,0,48890,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9991126367908663,,0.0,31.0
22,eGon2035,0,48891,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031398045796052114,,0.0,31.0
23,eGon2035,0,48892,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003070746857762743,,0.0,31.0
24,eGon2035,0,48893,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9987180664550375,,0.0,31.0
25,eGon2035,0,48900,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9939992027525492,,0.0,31.0
26,eGon2035,0,48901,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.006112658194327996,,0.0,31.0
27,eGon2035,0,48902,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9996895217424768,,0.0,31.0
28,eGon2035,0,48903,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0029383073055389885,,0.0,31.0
29,eGon2035,0,48904,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0028896499243145314,,0.0,31.0
30,eGon2035,0,48905,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9996373429661947,,0.0,31.0
31,eGon2035,0,48906,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003109191518929017,,0.0,31.0
32,eGon2035,0,48907,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003058518719766451,,0.0,31.0
33,eGon2035,0,48908,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.003360951664713569,,0.0,31.0
34,eGon2035,0,48909,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0031022520712868564,,0.0,31.0
35,eGon2035,0,48910,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0026089127011173505,,0.0,31.0
36,eGon2035,0,48985,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.0026734770767205306,,0.0,31.0
