name,p_set,carrier,bus
0 AC,0.0,AC,0
1 AC,0.0,AC,1
10 AC,0.0,AC,10
11 AC,0.0,AC,11
12 AC,0.0,AC,12
13 AC,0.0,AC,13
14 AC,0.0,AC,14
15 AC,0.0,AC,15
2 AC,0.0,AC,2
3 AC,0.0,AC,3
30987 AC,0.0,AC,30987
31000 AC,0.0,AC,31000
31246 AC,0.0,AC,31246
31271 AC,0.0,AC,31271
31371 AC,0.0,AC,31371
31538 AC,0.0,AC,31538
31557 AC,0.0,AC,31557
31559 AC,0.0,AC,31559
31560 AC,0.0,AC,31560
31561 AC,0.0,AC,31561
31562 AC,0.0,AC,31562
31621 AC,0.0,AC,31621
31660 AC,0.0,AC,31660
31736 AC,0.0,AC,31736
31778 AC,0.0,AC,31778
31779 AC,0.0,AC,31779
31782 AC,0.0,AC,31782
31784 AC,0.0,AC,31784
31837 AC,0.0,AC,31837
31853 AC,0.0,AC,31853
31868 AC,0.0,AC,31868
31874 AC,0.0,AC,31874
31879 AC,0.0,AC,31879
31913 AC,0.0,AC,31913
31943 AC,0.0,AC,31943
31980 AC,0.0,AC,31980
32145 AC,0.0,AC,32145
32175 AC,0.0,AC,32175
32176 AC,0.0,AC,32176
32288 AC,0.0,AC,32288
32330 AC,0.0,AC,32330
32499 AC,0.0,AC,32499
32534 AC,0.0,AC,32534
32602 AC,0.0,AC,32602
32603 AC,0.0,AC,32603
32604 AC,0.0,AC,32604
32619 AC,0.0,AC,32619
32622 AC,0.0,AC,32622
32626 AC,0.0,AC,32626
32627 AC,0.0,AC,32627
32642 AC,0.0,AC,32642
32658 AC,0.0,AC,32658
32673 AC,0.0,AC,32673
32692 AC,0.0,AC,32692
32696 AC,0.0,AC,32696
32699 AC,0.0,AC,32699
32700 AC,0.0,AC,32700
32725 AC,0.0,AC,32725
32726 AC,0.0,AC,32726
32729 AC,0.0,AC,32729
32735 AC,0.0,AC,32735
32745 AC,0.0,AC,32745
32760 AC,0.0,AC,32760
32763 AC,0.0,AC,32763
32810 AC,0.0,AC,32810
32821 AC,0.0,AC,32821
32862 AC,0.0,AC,32862
32875 AC,0.0,AC,32875
32876 AC,0.0,AC,32876
32877 AC,0.0,AC,32877
32878 AC,0.0,AC,32878
32879 AC,0.0,AC,32879
32880 AC,0.0,AC,32880
32904 AC,0.0,AC,32904
32905 AC,0.0,AC,32905
32936 AC,0.0,AC,32936
32941 AC,0.0,AC,32941
32958 AC,0.0,AC,32958
32959 AC,0.0,AC,32959
32974 AC,0.0,AC,32974
32975 AC,0.0,AC,32975
32976 AC,0.0,AC,32976
32987 AC,0.0,AC,32987
33002 AC,0.0,AC,33002
33004 AC,0.0,AC,33004
33023 AC,0.0,AC,33023
33024 AC,0.0,AC,33024
33162 AC,0.0,AC,33162
33210 AC,0.0,AC,33210
33241 AC,0.0,AC,33241
33257 AC,0.0,AC,33257
33258 AC,0.0,AC,33258
33260 AC,0.0,AC,33260
33283 AC,0.0,AC,33283
33290 AC,0.0,AC,33290
33458 AC,0.0,AC,33458
33543 AC,0.0,AC,33543
33620 AC,0.0,AC,33620
33788 AC,0.0,AC,33788
33935 AC,0.0,AC,33935
33945 AC,0.0,AC,33945
34155 AC,0.0,AC,34155
34156 AC,0.0,AC,34156
34192 AC,0.0,AC,34192
34251 AC,0.0,AC,34251
34424 AC,0.0,AC,34424
34430 AC,0.0,AC,34430
34449 AC,0.0,AC,34449
34503 AC,0.0,AC,34503
34631 AC,0.0,AC,34631
34636 AC,0.0,AC,34636
34697 AC,0.0,AC,34697
34709 AC,0.0,AC,34709
34751 AC,0.0,AC,34751
34762 AC,0.0,AC,34762
34809 AC,0.0,AC,34809
34873 AC,0.0,AC,34873
34938 AC,0.0,AC,34938
