name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
0 biomass,eGon2035_lowflex,0,biomass,44.547237498151304,1.0,42.107364542603456,1.0,0,inf,Slack,44.547237498151304,44.547237498151304
0 central_biomass_CHP,eGon2035_lowflex,0,central_biomass_CHP,28.10838584514169,1.0,42.107875981332306,1.0,0,inf,PV,28.10838584514169,28.10838584514169
0 industrial_biomass_CHP,eGon2035_lowflex,0,industrial_biomass_CHP,549.4720708653522,1.0000000000000002,42.108297944494154,1.0000000000000002,0,inf,PV,549.4720708653522,549.4720708653522
0 load shedding,,0,load shedding,64343600.65723591,0.9999999999999998,10000.007668879438,0.9999999999999998,1,0.0,PQ,64343600.65723591,64343600.65723591
0 run_of_river,eGon2035_lowflex,0,run_of_river,30.628143284143313,0.65,0.010388376975860394,1.0,0,inf,PV,30.628143284143313,30.628143284143313
0 solar,eGon2035_lowflex,0,solar,659.9781177081857,1.0,0.01854649553675122,1.0,0,inf,PV,659.9781177081857,659.9781177081857
0 solar_rooftop,eGon2035_lowflex,0,solar_rooftop,2928.1939818753553,1.0,0.018058927506956517,1.0,0,inf,PV,2928.1939818753553,2928.1939818753553
0 wind_offshore,eGon2035_lowflex,0,wind_offshore,11011.0,1.0,2.567876936129869,1.0,0,inf,PV,11011.0,11011.0
0 wind_onshore,eGon2035_lowflex,0,wind_onshore,8955.672254669878,0.9999999999999999,1.3080249999568674,0.9999999999999999,0,inf,PV,8955.672254669878,8955.672254669878
1 biomass,eGon2035_lowflex,1,biomass,110.040162201697,1.0,42.110164338394036,1.0,0,inf,PV,110.040162201697,110.040162201697
1 central_biomass_CHP,eGon2035_lowflex,1,central_biomass_CHP,98.15190453098008,0.9999999999999998,42.10691427156285,0.9999999999999998,0,inf,PV,98.15190453098008,98.15190453098008
1 industrial_biomass_CHP,eGon2035_lowflex,1,industrial_biomass_CHP,432.0102802339833,1.0,42.10821963033638,1.0,0,inf,PV,432.0102802339833,432.0102802339833
1 load shedding,,1,load shedding,133436371.83917257,0.9999999999999999,10000.007515157215,0.9999999999999999,1,0.0,PQ,133436371.83917257,133436371.83917257
1 oil,eGon2035_lowflex,1,oil,137.0,1.0,101.84064809348666,1.0,0,inf,PV,137.0,137.0
1 reservoir,eGon2035_lowflex,1,reservoir,1.9484952659304078,0.65,0.0049533795273807805,1.0,0,inf,PV,1.9484952659304078,1.9484952659304078
1 run_of_river,eGon2035_lowflex,1,run_of_river,97.8525419856427,0.6500000000000001,0.007902912607942408,1.0,0,inf,PV,97.8525419856427,97.8525419856427
1 solar,eGon2035_lowflex,1,solar,4224.759349987238,1.0,0.01754889692827678,1.0,0,inf,PV,4224.759349987238,4224.759349987238
