name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_cyclic,capital_cost,e_nom_opt
48639 CH4,eGon2035_lowflex,48639,CH4,103258761.6825082,False,True,0.0,103258761.6825082
48640 CH4,eGon2035_lowflex,48640,CH4,7796579.6970679015,False,True,0.0,7796579.6970679015
48642 CH4,eGon2035_lowflex,48642,CH4,16558557.363773989,False,True,0.0,16558557.363773989
48643 CH4,eGon2035_lowflex,48643,CH4,4467164.898,False,True,0.0,4467164.898
48644 CH4,eGon2035_lowflex,48644,CH4,110961282.95347735,False,True,0.0,110961282.95347735
48645 CH4,eGon2035_lowflex,48645,CH4,45093072.66459372,False,True,0.0,45093072.66459372
48647 CH4,eGon2035_lowflex,48647,CH4,98781272.36350779,False,True,0.0,98781272.36350779
48649 CH4,eGon2035_lowflex,48649,CH4,40085545.400267825,False,True,0.0,40085545.400267825
48650 CH4,eGon2035_lowflex,48650,CH4,3268835.936014453,False,True,0.0,3268835.936014453
52087 CH4,eGon2035_lowflex,52087,CH4,264722068.94267517,False,True,0.0,264722068.94267517
52101 H2_overground,eGon2035_lowflex,52101,H2_overground,0.0,True,True,44.88727243648892,241806.57779262448
