name,scn_name,v_nom,carrier,x,y,country,control,generator
0,eGon2035_lowflex,380.0,AC,8.348429000000001,53.253598000000004,DE,Slack,0 biomass
1,eGon2035_lowflex,380.0,AC,12.188528067692598,51.398637292341185,DE,PV,1 biomass
10,eGon2035_lowflex,380.0,AC,10.483337447277721,53.68553931140371,DE,PV,10 biomass
11,eGon2035_lowflex,380.0,AC,10.348517300000001,51.9443281,DE,PV,11 biomass
12,eGon2035_lowflex,380.0,AC,6.893770600000001,51.2709197,DE,PV,12 biomass
13,eGon2035_lowflex,380.0,AC,7.32817357112307,52.867004159281805,DE,PV,13 biomass
14,eGon2035_lowflex,380.0,AC,11.0225124,50.261698800000005,DE,PV,14 biomass
15,eGon2035_lowflex,380.0,AC,8.548020600000001,48.3807801,DE,PV,15 biomass
2,eGon2035_lowflex,380.0,AC,7.008885702495732,49.76466863547879,DE,PV,2 biomass
3,eGon2035_lowflex,380.0,AC,13.174684366100012,53.623604732062134,DE,PV,3 biomass
4,eGon2035_lowflex,380.0,AC,10.282812,48.4002348,DE,PV,4 biomass
43775,eGon2035_lowflex,380.0,AC,13.60427444018489,47.549498217049525,AT,PV,43775 oil
43776,eGon2035_lowflex,380.0,AC,4.798653786209867,50.74318840599844,BE,PV,43776 coal
43777,eGon2035_lowflex,380.0,AC,8.207947631625533,46.82343065666129,CH,PV,43777 nuclear
43778,eGon2035_lowflex,380.0,AC,15.238200383770577,49.84255074731976,CZ,PV,43778 coal
43779,eGon2035_lowflex,380.0,AC,9.73224872983087,55.99042991134832,DK,PV,43779 coal
43780,eGon2035_lowflex,380.0,AC,12.2839744286048,55.50990254373553,DK,Slack,43780 coal
43781,eGon2035_lowflex,380.0,AC,3.1555151587908,46.808684469407666,FR,PV,43781 nuclear
43782,eGon2035_lowflex,380.0,AC,-6.097540942585511,54.6687787490669,GB,Slack,43782 lignite
43783,eGon2035_lowflex,380.0,AC,-1.9756813895020315,53.282087722259334,GB,Slack,43783 coal
43784,eGon2035_lowflex,380.0,AC,6.130510690868267,49.6773404049915,LU,PQ,
43785,eGon2035_lowflex,380.0,AC,5.55144817647059,52.374286058823536,NL,PV,43785 nuclear
43786,eGon2035_lowflex,380.0,AC,8.605317995983397,60.97891064521747,NO,PV,43786 others
43787,eGon2035_lowflex,380.0,AC,18.902232738057837,51.57212911875295,PL,PV,43787 coal
43788,eGon2035_lowflex,380.0,AC,16.277634034498558,61.35776074926747,SE,PV,43788 nuclear
48639,eGon2035_lowflex,1.0,CH4,13.60427444018489,47.549498217049525,AT,Slack,48639 CH4
48640,eGon2035_lowflex,1.0,CH4,4.798653786209867,50.74318840599844,BE,Slack,48640 CH4
48641,eGon2035_lowflex,1.0,CH4,8.207947631625533,46.82343065666129,CH,Slack,48641 load shedding
48642,eGon2035_lowflex,1.0,CH4,15.238200383770577,49.84255074731976,CZ,Slack,48642 CH4
48643,eGon2035_lowflex,1.0,CH4,9.73224872983087,55.99042991134832,DK,Slack,48643 CH4
48644,eGon2035_lowflex,1.0,CH4,3.1555151587908,46.808684469407666,FR,Slack,48644 CH4
