name,bus,p_nom_max,marginal_cost,p_nom,control,up_time_before,carrier,p_max_pu,e_nom_max,p_nom_opt
0 biomass,0,inf,42.10742537789992,132.346215405185,Slack,0,biomass,1.0,inf,132.346215405185
0 central_biomass_CHP,0,inf,42.10834139226929,151.59569528653554,PV,0,central_biomass_CHP,1.0,inf,151.59569528653554
0 industrial_biomass_CHP,0,inf,42.107886346212844,282.48594998506667,PV,0,industrial_biomass_CHP,1.0,inf,282.48594998506667
0 load shedding,0,inf,10000.007867906914,194147294.15354267,PQ,1,load shedding,1.0,0.0,194147294.15354267
0 oil,0,inf,101.84143624159161,65.6,PV,0,oil,1.0,inf,65.6
0 others,0,inf,0.005116088896550663,373.6608077647899,PV,0,others,1.0,inf,373.6608077647899
0 reservoir,0,inf,0.009296474887086658,34.80747775405502,PV,0,reservoir,0.65,inf,34.80747775405502
0 run_of_river,0,inf,0.007870192589718647,4.303359547807146,PV,0,run_of_river,0.65,inf,4.303359547807146
0 solar,0,inf,0.01836352710065584,415.39384001822475,PV,0,solar,1.0,inf,415.39384001822475
0 solar_rooftop,0,inf,0.018291578315177786,12430.761372304343,PV,0,solar_rooftop,1.0,inf,12430.761372304343
0 wind_offshore,0,inf,2.5710282284921226,1250.0,PV,0,wind_offshore,1.0,inf,1250.0
0 wind_onshore,0,inf,1.3083614524632234,5233.724898293416,PV,0,wind_onshore,1.0,inf,5233.724898293416
1 biomass,1,inf,42.110664852365296,61.55848698062784,PV,0,biomass,1.0,inf,61.55848698062784
1 central_biomass_CHP,1,inf,42.10684085863922,55.18037955065731,PV,0,central_biomass_CHP,1.0,inf,55.18037955065731
1 industrial_biomass_CHP,1,inf,42.108827350564496,233.50952287426287,PV,0,industrial_biomass_CHP,1.0,inf,233.50952287426287
1 load shedding,1,inf,10000.007607132558,71821809.47117983,PQ,1,load shedding,1.0,0.0,71821809.47117983
1 oil,1,inf,101.84064809348666,137.0,PV,0,oil,1.0,inf,137.0
1 run_of_river,1,inf,0.007744255483890541,91.53834402651046,PV,0,run_of_river,0.65,inf,91.53834402651046
1 solar,1,inf,0.017762305991812288,2515.963406363212,PV,0,solar,1.0,inf,2515.963406363212
1 solar_rooftop,1,inf,0.0179743587561833,4091.911002921256,PV,0,solar_rooftop,1.0,inf,4091.911002921256
1 wind_onshore,1,inf,1.307929173822786,3488.22405766517,PV,0,wind_onshore,1.0,inf,3488.22405766517
10 biomass,10,inf,42.107898229409734,86.1705560780685,PV,0,biomass,1.0,inf,86.1705560780685
10 central_biomass_CHP,10,inf,42.10826821554371,143.8954526485687,PV,0,central_biomass_CHP,1.0,inf,143.8954526485687
10 industrial_biomass_CHP,10,inf,42.10703960224683,343.51400843076397,PV,0,industrial_biomass_CHP,1.0,inf,343.51400843076397
10 load shedding,10,inf,10000.007799461175,101134244.0786755,PQ,1,load shedding,1.0,0.0,101134244.0786755
10 run_of_river,10,inf,0.006974800398246422,7.478230429539525,PV,0,run_of_river,0.65,inf,7.478230429539525
10 solar,10,inf,0.017796341863103797,4356.950914878781,PV,0,solar,1.0,inf,4356.950914878781
10 solar_rooftop,10,inf,0.01833809127254434,4107.333398130077,PV,0,solar_rooftop,1.0,inf,4107.333398130077
10 wind_onshore,10,inf,1.30790927532308,8803.679665154012,PV,0,wind_onshore,1.0,inf,8803.679665154012
10866 load shedding,10866,inf,10000.0016399737,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
11 biomass,11,inf,42.10778033136937,28.941176749913854,PV,0,biomass,1.0,inf,28.941176749913854
11 central_biomass_CHP,11,inf,42.1071764422027,25.473116827271607,PV,0,central_biomass_CHP,1.0,inf,25.473116827271607
11 industrial_biomass_CHP,11,inf,42.10816451281886,140.71503603051963,PV,0,industrial_biomass_CHP,1.0,inf,140.71503603051963
11 load shedding,11,inf,10000.008122276966,38829458.83070853,PQ,1,load shedding,1.0,0.0,38829458.83070853
11 others,11,inf,0.01679701880622701,2.44886863392447,PV,0,others,1.0,inf,2.44886863392447
11 run_of_river,11,inf,0.008450944708236274,676.9627162071628,PV,0,run_of_river,0.65,inf,676.9627162071628
11 solar,11,inf,0.017020909384288962,822.7888556133818,PV,0,solar,1.0,inf,822.7888556133818
11 solar_rooftop,11,inf,0.017872956154063827,3346.423316241504,PV,0,solar_rooftop,1.0,inf,3346.423316241504
11 wind_onshore,11,inf,1.3079337619769416,1131.8691650913574,PV,0,wind_onshore,1.0,inf,1131.8691650913574
11689 load shedding,11689,inf,10000.007719193736,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
11690 load shedding,11690,inf,10000.006670824392,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
11853 load shedding,11853,inf,10000.002492506503,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
11854 load shedding,11854,inf,10000.006859975036,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
11855 load shedding,11855,inf,10000.002171544187,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
11856 load shedding,11856,inf,10000.017081678743,126893.65630950501,PQ,1,load shedding,1.0,0.0,126893.65630950501
