,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,47179507.437282965,3717308.347118735,7487144.543304969,2003806.3464415343,51440466.316938624,20100098.826075707,45069278.5661075,17788676.759963203,1461457.8567954705,114596374.61174864,152400.72658757283
1,47163833.44528254,3660423.4033435364,7458205.355420739,2000042.4282762604,51234296.373319946,20146340.245351244,45018243.9067019,17752165.844822705,1457278.861186252,116436600.95260035,165093.38915039896
2,47166812.72078575,3646577.4521789495,7456560.469541209,2003316.986395211,51155775.797272064,20235963.222888663,45029722.23916582,17776960.132667236,1458043.095002849,118018184.3824361,177745.92261956766
3,47167911.357368745,3625636.8559179185,7452613.243473003,2006103.4867130616,51062825.17180441,20335405.900983524,45036026.712053694,17795254.079549983,1458771.3647578517,119318462.42072694,190702.35889813307
4,47168990.94613117,3606871.687943711,7448323.654641703,2009028.0490673974,50970108.98743235,20411374.87639944,45043957.79465217,17813314.029103108,1459583.198363471,120399593.14769872,203378.2053162077
5,47206196.044957645,3662156.718295019,7494603.261843393,2021250.9389207156,51116289.99459842,20442436.831757665,45158931.541792676,17939906.399314497,1468296.2951408871,121511705.04858147,216217.51201940418
6,47195271.79322925,3608001.175878573,7475077.139007739,2010049.0855569025,50927316.3181988,20396608.26764024,45085349.90399805,17896488.487250574,1466171.7128998016,121902891.98455572,228128.1109621168
7,47199476.19891597,3590645.1968815923,7475522.42069366,2006100.8471933622,50841625.10101718,20428926.932165127,45070023.79151041,17905324.744531874,1467440.0437594536,122110473.89912273,239976.37048378403
8,47199661.07541387,3554841.672967053,7467799.103703848,1999081.4454622092,50709641.89584189,20353176.503682002,45026464.710355364,17890996.05357319,1467185.6386280034,121900372.7835318,226203.43733582296
9,47217668.46496583,3558499.8932593497,7485825.51090889,2000305.9031755454,50696515.23708319,20135266.095262,45048735.234295525,17936966.38630456,1470817.908814028,121227170.23525995,211716.8072802154
10,47248256.33977199,3604799.9033217304,7525283.861232675,2009446.1165709065,50768350.1631553,20105810.54285046,45130896.630463734,18032267.566707768,1477023.3049135467,120443028.85892877,197225.4191482349
11,47205222.53692203,3559988.872616607,7531370.509546536,1995655.7166344002,50512244.56783726,19907278.16992074,45018280.89686484,17966890.299528267,1473854.0430330485,118013194.98719688,172364.906650433
12,47175909.1975832,3546475.329211784,7548334.611888409,1988149.7417502166,50354689.90069056,19745824.50794596,44977293.34383556,17950807.688885223,1473688.473969319,115997378.72932935,147618.92301568866
13,47134070.021253355,3507355.8491283506,7547654.690491056,1975252.4034854954,50109601.82384848,19449232.575563915,44867075.26097426,17891853.515480928,1470311.291106111,114070683.09613675,122840.08049188677
14,47133283.15218117,3554063.25821736,7591687.630406109,1981807.702670929,50153834.65662771,19232816.306415305,44880403.27105314,17975059.46928966,1475461.5333786802,112344026.13062331,98518.69505076403
15,47139371.83938479,3558939.3009619056,7589559.929304091,1988499.7903002284,50100526.32953777,19431178.666450657,44896386.48570825,17992554.05295521,1475700.1605965514,111643183.95360535,74107.27284314179
16,47115990.517518,3504168.6471678475,7550005.24571269,1985236.7258092256,49859881.640426174,19487902.596126527,44816023.07332705,17911775.03671188,1469540.7637172337,110284861.22982101,49195.71444570527
17,47101347.25228161,3471362.7557686423,7525850.51913581,1985654.5837776423,49689864.96510848,19588788.505242076,44773748.231499456,17868465.451371986,1466091.6857159159,108994935.95213816,24603.07401128383
18,47070315.60080605,3405493.9610414016,7480410.661327911,1980487.981535853,49417634.97955712,19652085.37141731,44678853.13391349,17771671.950710032,1459260.6973529228,107822452.54671015,0.9180412870237556
19,47097592.584452085,3458069.924153478,7515872.134042635,1995141.7196656573,49521077.87930065,19842159.40588543,44778258.26823694,17871529.50138758,1465697.2971552734,107319508.81497367,39.818255349608606
20,47066025.62946969,3393896.3814516687,7467756.367443577,1987434.0226539837,49373294.10820536,19962585.673568178,44664352.97584748,17732377.017918903,1460415.1059052928,107315141.93351163,11250.886176418799
21,47045774.20638907,3350893.5499184676,7435564.363834806,1983907.5582326774,49285069.9203687,19994868.30612659,44591257.18917637,17635707.892954003,1457531.999458509,107693059.94167614,22314.32621299039
22,47030387.216536745,3315633.1161585446,7409138.0141634485,1981985.1422915114,49222977.374826506,20061515.918906163,44536977.75712923,17557497.87537426,1455819.163006471,108481500.25127055,34408.44301962106
23,47002539.46741264,3252833.402905972,7364927.047698856,1975536.0903007495,49094538.01671376,20068875.355561256,44440031.4048537,17431414.358634185,1451457.8946340592,109338325.8037711,46524.54629898474
24,47036737.39273165,3336407.8239452615,7403925.521127656,1989562.176399893,49377897.415271364,20246516.184346776,44580139.13297839,17530158.213268988,1460074.8282805185,110545241.73124658,58984.09866123342
25,47016256.2166213,3340573.508452866,7363025.89957836,1981169.5381516689,49488342.77855073,20228169.146461103,44552657.07638456,17411529.849424783,1456906.7305605006,111322663.04184426,70863.16008613101
26,47015167.744044766,3369364.480584535,7349768.134238581,1980561.186995746,49660112.48180742,20249837.143849332,44586549.563586935,17369670.207151577,1457955.0007873133,111534070.15961768,83036.39535119112
27,47012113.51331525,3393237.3197924043,7333390.0939851925,1979155.1285022295,49825530.69335647,20288329.29457554,44615570.66402723,17319686.309639327,1458495.1690802427,111454230.65884753,84861.47782223644
28,47009481.02098392,3416130.132668649,7316889.469186278,1977873.2236139872,49992131.925637476,20162941.80265225,44646625.1605916,17271009.5303957,1459098.9783655019,111182719.60766616,86782.55528128176
29,47057056.392788224,3499857.959657493,7373992.312136476,1991345.4747180229,50316565.543223135,20207918.267556436,44795811.01104546,17425730.012055147,1467994.3366982997,111155300.98046356,99404.20545221952
30,47069582.626734085,3524120.3820170616,7380135.007818265,1983704.5861988948,50530383.167294845,20089983.95970947,44794255.743707,17448915.1214947,1466157.2537546428,110802599.03542568,111419.78798925936
31,47092760.42930647,3566532.054869938,7401586.210339022,1982266.8018214155,50777703.28936912,20066441.521668665,44838565.863834225,17512590.731550466,1467084.9315836346,110855913.64536107,114364.36932637812
32,47111132.773628525,3601906.9534781137,7414406.104820226,1977963.9963576123,51009775.39294927,20031996.78078785,44861091.141474605,17558363.91812677,1465686.7351052156,111406240.3178981,126921.50399757363
33,47142343.75298061,3663063.116696704,7446210.165867789,1984561.302682533,51285472.25185888,19993681.49635502,44936533.028089166,17652118.48559059,1461041.4638967803,112776371.01912999,139427.62878952138
