name,scn_name,v_nom,carrier,x,y,country,control,generator
4,eGon2035,380.0,AC,10.04945241372201,51.427999551924934,DE,Slack,0 biomass
41276,eGon2035,110.0,dsm,10.061263632035226,51.35261873511027,DE,Slack,41276 load shedding
43775,eGon2035,380.0,AC,13.60427444018489,47.549498217049525,AT,Slack,43775 load shedding
43776,eGon2035,380.0,AC,4.798653786209867,50.74318840599844,BE,Slack,43776 coal
43777,eGon2035,380.0,AC,8.207947631625533,46.82343065666129,CH,Slack,43777 load shedding
43778,eGon2035,380.0,AC,15.238200383770577,49.84255074731976,CZ,Slack,43778 coal
43779,eGon2035,380.0,AC,9.73224872983087,55.99042991134832,DK,Slack,43779 coal
43780,eGon2035,380.0,AC,12.2839744286048,55.50990254373553,DK,Slack,43780 coal
43781,eGon2035,380.0,AC,3.1555151587908,46.808684469407666,FR,Slack,43781 load shedding
43782,eGon2035,380.0,AC,-6.097540942585511,54.6687787490669,GB,Slack,43782 lignite
43783,eGon2035,380.0,AC,-1.9756813895020315,53.282087722259334,GB,Slack,43783 coal
43784,eGon2035,380.0,AC,6.130510690868267,49.6773404049915,LU,Slack,43784 load shedding
43785,eGon2035,380.0,AC,5.55144817647059,52.374286058823536,NL,Slack,43785 load shedding
43786,eGon2035,380.0,AC,8.605317995983397,60.97891064521747,NO,Slack,43786 load shedding
43787,eGon2035,380.0,AC,18.902232738057837,51.57212911875295,PL,Slack,43787 coal
43788,eGon2035,380.0,AC,16.277634034498558,61.35776074926747,SE,Slack,43788 load shedding
48639,eGon2035,1.0,CH4,13.60427444018489,47.549498217049525,AT,Slack,48639 CH4
48640,eGon2035,1.0,CH4,4.798653786209867,50.74318840599844,BE,Slack,48640 CH4
48641,eGon2035,1.0,CH4,8.207947631625533,46.82343065666129,CH,Slack,48641 load shedding
48642,eGon2035,1.0,CH4,15.238200383770577,49.84255074731976,CZ,Slack,48642 CH4
48643,eGon2035,1.0,CH4,9.73224872983087,55.99042991134832,DK,Slack,48643 CH4
48644,eGon2035,1.0,CH4,3.1555151587908,46.808684469407666,FR,Slack,48644 CH4
48645,eGon2035,1.0,CH4,-6.097540942585511,54.6687787490669,GB,Slack,48645 CH4
48646,eGon2035,1.0,CH4,6.130510690868267,49.6773404049915,LU,Slack,48646 CH4
