name,scn_name,bus,carrier,p_nom,p_nom_min,p_max_pu,capital_cost,state_of_charge_initial,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035_lowflex,0,battery,1767.57494945,0.0,1.0,0.0,8801.426068250115,6.0,0.9797958971132712,0.9797958971132712,,1767.57494945
0 pumped_hydro,eGon2035_lowflex,0,pumped_hydro,300.0,0.0,1.0,0.0,1385.640646056,6.0,0.8660254037844386,0.8660254037844386,,300.0
1 battery,eGon2035_lowflex,1,battery,1350.0,0.0,1.0,0.0,6097.267341533228,6.0,0.9797958971132712,0.9797958971132712,,1350.0
1 pumped_hydro,eGon2035_lowflex,1,pumped_hydro,1395.0,0.0,1.0,0.0,3537.5782468797006,6.0,0.8660254037844386,0.8660254037844386,,1395.0
10 battery,eGon2035_lowflex,10,battery,2623.0080286700004,0.0,0.9999999999999998,0.0,15738.048172,5.999999999999998,0.9797958971132712,0.9797958971132712,,2623.0080286700004
11 battery,eGon2035_lowflex,11,battery,4313.362242052785,4310.135449086147,0.9999999999999999,1242.0429193376096,25880.1734523,6.0,0.9797958971132713,0.9797958971132713,,4313.362242052785
11 pumped_hydro,eGon2035_lowflex,11,pumped_hydro,3195.2,0.0,1.0,0.0,15481.700839768226,6.000000000000001,0.8660254037844387,0.8660254037844387,,3195.2
12 battery,eGon2035_lowflex,12,battery,1806.2200567308275,1805.1904153932753,1.0,1242.0429193376096,8846.37746442094,6.0,0.9797958971132713,0.9797958971132713,,1806.2200567308275
12 pumped_hydro,eGon2035_lowflex,12,pumped_hydro,220.0,0.0,1.0,0.0,1065.9658815564,6.0,0.8660254037844386,0.8660254037844386,,220.0
13 battery,eGon2035_lowflex,13,battery,6436.406671278533,6434.397968522755,1.0,1242.0429193376096,38618.4400277,6.0,0.9797958971132712,0.9797958971132712,,6436.406671278533
13 pumped_hydro,eGon2035_lowflex,13,pumped_hydro,2160.0,0.0,1.0,0.0,12960.0,6.0,0.8660254037844386,0.8660254037844386,,2160.0
14 battery,eGon2035_lowflex,14,battery,4253.856859793013,4250.276166997823,1.0,1242.0429193376096,21181.566681580432,6.0,0.9797958971132713,0.9797958971132713,,4253.856859793013
14 pumped_hydro,eGon2035_lowflex,14,pumped_hydro,1200.0,0.0,1.0,0.0,6928.20323028,6.0,0.8660254037844387,0.8660254037844387,,1200.0
2 battery,eGon2035_lowflex,2,battery,1047.2089756,0.0,1.0,0.0,4231.151738174424,6.0,0.9797958971132712,0.9797958971132712,,1047.2089756
2 pumped_hydro,eGon2035_lowflex,2,pumped_hydro,3989.0,0.0,1.0,0.0,19327.89955240218,6.0,0.8660254037844386,0.8660254037844386,,3989.0
3 battery,eGon2035_lowflex,3,battery,1337.0050395500002,0.0,1.0,0.0,6657.4551829549,6.0,0.9797958971132712,0.9797958971132712,,1337.0050395500002
3 pumped_hydro,eGon2035_lowflex,3,pumped_hydro,687.5999756,0.0,1.0,0.0,3733.483479323148,6.0,0.8660254037844386,0.8660254037844386,,687.5999756
4 battery,eGon2035_lowflex,4,battery,1191.17601695,0.0,1.0,0.0,5931.317170296114,6.0,0.9797958971132712,0.9797958971132712,,1191.17601695
5 battery,eGon2035_lowflex,5,battery,10432.467792820002,0.0,1.0,0.0,36096.44350065404,6.0,0.9797958971132712,0.9797958971132712,,10432.467792820002
5 pumped_hydro,eGon2035_lowflex,5,pumped_hydro,1800.0,0.0,1.0,0.0,2810.708465826998,6.0,0.8660254037844386,0.8660254037844386,,1800.0
6 battery,eGon2035_lowflex,6,battery,4949.000779534999,0.0,1.0,0.0,7440.3947826571275,6.0,0.9797958971132712,0.9797958971132712,,4949.000779534999
6 pumped_hydro,eGon2035_lowflex,6,pumped_hydro,4004.0,0.0,1.0,0.0,4623.4209556735195,6.0,0.8660254037844386,0.8660254037844386,,4004.0
7 battery,eGon2035_lowflex,7,battery,2025.02449595,0.0,1.0,0.0,11084.423456062463,6.0,0.9797958971132712,0.9797958971132712,,2025.02449595
9 battery,eGon2035_lowflex,9,battery,625.0,0.0,1.0,0.0,667.302830110317,6.0,0.9797958971132712,0.9797958971132712,,625.0
9 pumped_hydro,eGon2035_lowflex,9,pumped_hydro,1323.099976,0.0,1.0,0.0,4813.599884550026,6.0,0.8660254037844386,0.8660254037844386,,1323.099976
