,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,47023072.98313326,3484727.8864018703,7794501.9396454785,1970072.0074509503,50085662.79859013,19591243.933221396,44518992.25862518,17644492.18900277,1414380.1499717196,94527836.83438988,175101.2969128734
1,47071658.19679616,3302811.55816355,7913802.2685722485,2019007.6178379904,50184693.965179816,19614233.624897815,44671484.19751738,17644799.1089752,1391596.4605719496,94027180.69203287,177667.1125286268
2,47119516.92847221,3119460.3790773703,8032155.998889218,2067687.6124117903,50226831.82748654,19674223.460527316,44821667.40408058,17642867.72206043,1368661.5846425495,93526864.18888709,180184.8815102002
3,47164298.72336058,2930032.0426240205,8146500.511994588,2115284.9735363103,50248755.46401276,19732053.274955317,44962072.221689075,17631456.22562076,1345086.3743301095,93015569.64872777,182672.77714492363
4,47203072.93201173,2728738.3187806206,8253017.201584358,2160768.53959169,50297878.470222585,19780734.550510317,45083385.157026574,17601535.224618793,1320260.9387799795,92499552.86014973,185196.59424443703
5,47240341.76527079,2524471.3771604607,8357572.402411528,2205722.43283748,50376725.290513985,19771940.179502428,45199914.06619678,17566976.129116222,1295122.2229483596,91973733.87631805,187668.65096455044
6,47278725.26479011,2322405.9764698506,8463580.001992498,2251068.5262035304,50395942.67200459,19758955.504102718,45319985.34266268,17535851.34473545,1270215.4778009995,91395074.69480182,190131.23419845387
7,47317863.45553886,2121831.1417808807,8570570.956538267,2296680.16092621,50380790.120046996,19788612.971908618,45442454.999365576,17507051.78053518,1245465.7897451995,90825290.13008824,192598.76743078727
8,47357782.296805635,1922798.1444367107,8678579.090736737,2342566.4708929104,50370766.12512957,19820514.33438192,45567405.533944674,17480657.41765101,1220878.5611100195,90263477.88160175,195060.4179232407
9,47398489.45091279,1725322.1180399007,8787614.388515707,2388730.15212472,50432587.79841066,19854736.775285818,45694861.29697097,17456691.86386574,1196455.3864840996,89695964.75542024,197513.8344162241
10,47439763.132089496,1528965.0207575206,8897387.865280777,2435093.16834384,50498131.32458855,19890582.600520793,45824117.46163777,17434471.79236997,1172150.1105303497,89127223.72504775,199977.8917813475
11,47481288.64124814,1333105.3006983206,9007489.471334547,2481544.7913220404,50565329.25839164,19925230.954336572,45954173.926124275,17413027.608393,1147897.2419305798,88566889.09330288,202481.8758075009
12,47523092.10378542,1137794.5572803607,9117953.247802217,2528094.21339261,50634353.23307283,19960628.05869235,46085113.71595538,17392439.80485373,1123702.2175822698,88025099.77106464,204926.98944796433
13,47564885.93836511,1027881.4646644207,9228404.479139386,2574640.24782487,50656351.53019993,19958397.3503488,46216022.90850068,17371822.33736656,1099505.1895813898,87467449.3891345,207477.36638067773
14,47606437.87947639,832073.9494916807,9338540.525757456,2621101.1709993402,50723723.1112033,19994592.25645188,46346163.37273488,17350459.59081369,1075257.8216757397,86900158.83413883,209951.81372312116
15,47647314.42803179,634932.4885378807,9447796.542772627,2667324.4543967103,50825346.8813777,19991378.705800507,46474157.464923084,17327015.94502762,1050869.8993468396,86332934.0962193,212476.81630322456
16,47687453.70046229,503187.41749413,9556091.896526296,2713288.3240169203,50816585.242637284,20024846.280329887,46599808.521419086,17301300.73537905,1026328.5441445496,85761653.16508242,214998.01071672796
17,47726955.53642331,303330.80658859,9663556.677070066,2759027.90887237,50870488.464931875,20056121.739858568,46723433.82887889,17273621.570029583,1001654.5334746497,85191874.17543063,217439.27209772138
18,47766092.17617408,224011.24190770002,9770545.610681336,2804638.99786975,50894460.72198647,19925108.602055587,46845898.55656888,17244817.227170713,976904.5226441596,84633850.89207457,219902.76385300478
19,47805454.516769074,240643.60970453004,9549531.605187707,2850329.50068038,50785274.585425876,19818046.019654285,46969080.553021386,17216708.273548044,952201.4819078896,84401115.99169518,222400.8616867782
20,47846324.976639494,250165.12318798003,9330482.663708577,2896550.64174776,50801443.248629674,19689944.224788543,47097055.295598686,17193245.868390575,927812.2924764795,84176858.73001908,224871.9252089316
21,47890081.141398534,99377.76482627002,9115193.766229447,2943787.13049783,50854580.41503877,19644775.525862582,47234200.69937448,17178674.383095406,904023.6405884095,83953039.24746871,227316.23713368503
22,47937209.13727895,0.0,8904298.330267217,2992210.01253747,50806500.97310382,19671985.858237457,47382061.65516498,17174491.583215635,880936.6928788095,83730692.44564603,229839.54101233845
23,47986061.668369465,0.0,9023946.971072188,3041239.67971172,50861704.44201124,19569827.5002405,47535403.11875068,17175622.114027865,858208.6343066795,83229579.42616476,232330.67211784187
24,48034484.23216338,0.0,9143217.746204557,3089220.34081791,50960739.10522344,19434598.61735315,47662826.319810994,17173572.774354596,835400.2877929895,82721437.89786841,234795.05436748528
25,48083003.7027958,0.0,9262612.655034326,3104087.2744636904,51024148.02894144,19320845.60421873,47812159.1875008,17205002.056425124,812612.0007457295,82214552.28133826,237298.1688044587
26,48130790.80640104,0.0,9381069.431650495,3118617.10217245,51078670.932155676,19224271.569544196,47881054.090601385,17234010.780002654,789672.1156067195,81707292.06284481,239722.89592309212
27,48175476.04775934,198221.55036547,9495552.849571165,3131719.15372467,51050713.506203376,19069484.650649875,47874500.02125829,17252767.486862883,766090.1529573095,81188364.60944824,242136.13000487554
28,48214105.03699739,155828.07838319,9602278.456180835,3175191.8673060997,51086659.31108518,18952371.11579281,47988834.90184419,17218349.240360014,741254.5616892995,80664787.05124642,244600.92481803894
29,48251216.45619142,0.0,9707060.117621304,3217966.0487954295,51112829.13877198,18933167.3754594,48086748.836398326,17178915.247759245,716104.8373237596,80128938.39866073,246927.15198654236
30,48289451.57126516,0.0,9813281.187533075,3261257.4635003693,51155497.72269014,18818420.4688364,48115792.23323148,17143195.201177876,691187.7151163795,79536029.21098906,249246.35331136576
31,48328447.49112439,0.0,9592179.792263845,3271740.740607899,51127140.471283145,18676935.93954838,48189812.348486766,17143148.036532808,666428.0775436095,79281181.4901886,251591.90144474918
32,48368230.38534714,0.0,9700383.503972914,3282586.259215049,51085102.90647134,18584167.23547839,48308230.38237557,17145701.913999837,641831.3416407995,78706429.03314632,253910.88355508258
33,48408807.97832615,0.0,9809605.192291483,3293797.574832349,51064613.824671365,18479283.547937065,48429460.49949007,17150882.363598667,617399.1063374096,78125756.43248239,255674.8886035996
34,48449956.68766216,48381.55416534001,9919558.457309153,3338430.106610309,51013874.54655036,18295388.33554663,48552711.54178537,17124792.086074196,593085.0906516296,77544285.42517847,258071.76509099302
35,48491359.26497265,66800.59359397,10029836.916820724,3350021.159580289,50915603.98428676,18196636.13152413,48676860.90922177,17132699.205165327,568823.6249838696,76970913.67968582,260403.81036539638
36,48533042.04728933,0.0,10140474.307487093,3394899.523251139,50904555.13074476,18099368.51938628,48802001.79676767,17108374.101168957,544620.1610320096,76419058.51176795,262808.5511800998
37,48574715.12365489,0.0,10251099.265226863,3406615.085973799,50923860.525611565,17972637.00248748,48927108.33929636,17117175.251204688,520414.6879732196,75849214.75111769,265253.4377092932
38,48616144.347036324,0.0,10361411.857265733,3418218.404035449,50977845.05314337,17844746.953370057,49014913.415316716,17125170.438670017,496158.73797364964,75268901.86596154,267582.0312215166
39,48656892.706683666,0.0,10142555.265703402,3462666.656276039,50960776.77747136,17712814.54927616,49098861.31537207,17097756.95870305,471761.85093157965,75017254.99605452,269969.446529
40,48696897.81772522,0.0,9922746.603070373,3506772.793827719,51054754.03613276,17511104.895229816,49178598.621568,17067886.95535608,447211.11333896965,74749179.94536008,265107.3886279731
41,48736260.32859146,0.0,9702114.795890242,3550583.144804899,51028758.31349876,17344593.709214605,49254695.51951879,17035893.08343721,422527.35916214966,74464023.2182899,260172.17650363618
42,48775254.6848886,41132.63700809998,9481011.397761812,3561065.702210329,50991117.90028015,17198283.567828868,49332324.139995925,17035840.75103674,397767.39793602965,74153968.91672137,255280.17659334926
43,48814476.57037334,0.0,9260199.455218483,3571652.990491319,50964216.28830815,17004965.372457575,49448757.01504423,17036540.42915427,373054.5346667796,73840667.91233669,250403.71086062235
44,48855218.79201284,31713.1738507,9041335.001119252,3582940.084095369,50993329.20129213,16764240.432538228,49570569.679307826,17042264.9956886,348656.37707287964,73544006.39630835,245453.04660335544
45,48898870.09488069,0.0,8826196.961113922,3595566.217438959,51061628.058807924,16583907.129420605,49702676.280059725,17057604.41517593,324860.3918141496,73276348.91713561,240576.09065473854
46,48945920.54319094,0.0,8615413.087420892,3642915.298669689,50999740.30359192,16482577.48952564,49846810.93522202,17051020.07370156,301768.02092297963,73016284.947284,235735.24561136164
47,48994642.00131188,0.0,8406769.708963662,3691033.539771209,51149867.06955602,16272764.21231987,49975927.40904237,17049958.61466049,279021.5447665496,72826090.07797398,230888.88581313472
48,47027375.90154569,3441169.94680095,7540721.492223268,1908071.2374420802,49547997.54791084,19685736.873823386,44592854.082228206,17953558.462357726,1469993.87332493,100203327.1311845,226043.07318511308
49,46996995.185669556,3257030.04188784,7330617.695677338,1868423.2960513101,49650221.1729566,19754690.956256703,44698534.64795361,17981463.071909554,1501093.44486243,104262564.79394603,221244.50529799602
50,47043305.15279263,3071279.3171824496,7119482.966485508,1828419.6342081302,49746737.53171996,19804571.868145898,44801440.93471811,18006670.251955383,1532011.59986802,104059989.98218952,216397.1054220591
51,47086067.23310772,2878746.4124201396,6904007.608463477,1786918.25041636,49819224.07178826,19863541.960598666,44892666.42420751,18020520.20092691,1562165.92046423,103845327.0414366,211542.88786492217
52,47121907.54389189,2672981.77569713,6680063.876446747,1742494.87764628,49778162.73041122,19918936.170195065,44961103.19718781,18012212.696671043,1590830.0340646901,103622953.83076164,206688.70892272526
53,47135125.21990113,2463996.1362743396,6473036.806400624,1697360.20461587,49725689.11300427,19948413.082507364,45023992.50913891,17998511.399911173,1619131.3863296802,103355987.81048223,201708.08712877834
54,47163963.756003305,2257433.1954115797,6245368.584349794,1652760.54079752,49681799.314761795,19971580.942855265,45091054.38072431,17988867.079984404,1647705.5919409601,102978013.75572002,196749.37034954655
55,47193628.142748676,2052448.9598642797,6018710.741520665,1608509.5055295099,49710169.77139316,19989759.227275316,45156408.88789166,17981866.411644034,1676457.5972320102,102604859.4764848,191784.55827789477
56,47146667.824037924,1849201.6675178297,5793164.550943535,1564642.0427903098,49678027.58704986,20008887.93665939,45210167.457745664,17977774.375207964,1705405.2235435601,102315891.47438899,186792.52828735296
57,47100604.79377563,1647669.6417932897,5568716.139500505,1521153.3656990598,49651962.73264994,20030229.82862554,45279907.68674691,17976554.671740893,1734546.0295784601,102022196.02567917,181826.97461869117
58,47055188.33148892,1530823.81106185,5345058.765581375,1477937.6339131899,49613493.644129984,20055864.175254162,45353182.2299686,17977404.713533822,1763826.03702943,101728443.46320935,176878.92892286938
59,47010063.20008555,1331084.6832735501,5121757.817698245,1434844.8859432698,49593781.173768945,20087560.025837433,45431996.6024456,17979187.342057854,1793168.76591578,101444470.61209853,171932.50237813758
