,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,-48489.08553325385,182106.18776812963,-119175.07495547831,-48901.787290950306,-46279.03129012883,-57576.986521396786,-152186.4473251775,-10.74710277095437,22803.69440828031,502107.9049101174,-2530.464255873405
1,-48585.2136629,181916.32823832,-119300.32892677002,-48935.61038704,-99031.16658968438,-22989.691676419996,-152491.9388922,-306.9199724300015,22783.68939977,500656.1423569994,-2565.8156157534104
2,-47858.73167605999,183351.17908618003,-118353.73031697002,-48679.994573799995,-42137.862306719995,-59989.8356295,-150183.20656320002,1931.3869147700007,22934.8759294,500316.50314578414,-2517.7689815734047
3,-44781.79488837001,189428.33645335003,-114344.51310537002,-47597.36112452,-21923.636526219994,-57829.814428,-140404.81760850002,11411.49643967,23575.210312440002,511294.54015931487,-2487.89563472342
4,-38774.20865115,201293.7238434,-106516.68958977002,-45483.56605538,-49123.00620982998,-48681.275554999986,-121312.93533750002,29921.001001970002,24825.43555013,516016.78857804835,-2523.8170995133987
5,-37268.833259060004,204266.94162016,-104555.20082717002,-44953.89324579,-78846.8202914,8794.371007889993,-116528.90917020002,34559.095502569995,25138.71583162,525818.9838316739,-2472.056720113411
6,-38383.49951932,202065.40069061005,-106007.59958097001,-45346.09336605,-19217.381490600015,12984.67539970997,-120071.27646590002,31124.78438077,24906.74514736,578659.1815162301,-2462.583233903424
7,-39138.19074875001,200574.83468897,-106990.95454577002,-45611.63472268,15152.551957589989,-29657.467805899996,-122469.65670290001,28799.56420027,24749.6880558,569784.5647135824,-2467.5332323334005
8,-39918.84126677,199032.99734417003,-108008.13419847001,-45886.3099667,10023.994917420008,-31901.362473300065,-124950.53457909994,26394.36288417,24587.22863518,561812.248486489,-2461.650492453424
9,-40707.15410715001,197476.02639681002,-109035.29777897001,-46163.68123181,-61821.67328109,-34222.4409039,-127455.76302630002,23965.55378527,24423.17462592,567513.1261815131,-2453.416492983408
10,-41273.68117671,196357.09728238004,-109773.47676507001,-46363.01621912,-65543.52617789,-35845.825234976,-129256.16466680002,22220.07149577,24305.275953749893,568741.0303724855,-2464.0573651234154
11,-41525.50915864,195859.72005920002,-110101.60605377001,-46451.62297820001,-67197.93380309,-34648.35381578001,-130056.46448650002,21444.18397697001,24252.868599769892,560334.6317448765,-2503.9840261533973
12,-41803.46253728001,195310.7434179599,-110463.77646767002,-46549.42207057,-69023.97468118998,-35397.10435578,-130939.78983110002,20587.80353927,24195.024348309962,541789.3222382367,-2445.1136404634162
13,-41793.83457969,109913.09261594003,-110451.23133717001,-46546.034432259854,-21998.29712710001,2230.7083435500863,-130909.19254530001,20617.46748717,24197.028000880033,557650.3819301426,-2550.376932713407
14,-41551.94111128001,195807.51517273998,-110136.04661807002,-46460.9231744702,-67371.58100337,-36194.90610307999,-130140.46423420002,21362.74655287,24247.367905650055,567290.5549956709,-2474.4473424434254
