name,scn_name,bus,carrier,e_nom,e_initial,capital_cost,e_nom_opt
48639 CH4,eGon2035_lowflex,48639,CH4,103258761.6825082,45217623.5930117,0.0,103258761.6825082
48640 CH4,eGon2035_lowflex,48640,CH4,7796579.6970679015,3471769.1471663304,0.0,7796579.6970679015
48642 CH4,eGon2035_lowflex,48642,CH4,16558557.363773989,7404077.893044736,0.0,16558557.363773989
48643 CH4,eGon2035_lowflex,48643,CH4,4467164.898,1988913.8820522737,0.0,4467164.898
48644 CH4,eGon2035_lowflex,48644,CH4,110961282.95347735,45797247.88352719,0.0,110961282.95347735
48645 CH4,eGon2035_lowflex,48645,CH4,45093072.66459372,19087306.761248805,0.0,45093072.66459372
48647 CH4,eGon2035_lowflex,48647,CH4,98781272.36350779,41782477.71594417,0.0,98781272.36350779
48649 CH4,eGon2035_lowflex,48649,CH4,40085545.400267825,16629984.211698538,0.0,40085545.400267825
48650 CH4,eGon2035_lowflex,48650,CH4,3268835.936014453,1473361.4019948298,0.0,3268835.936014453
52087 CH4,eGon2035_lowflex,52087,CH4,264722068.94267517,80215631.36808336,0.0,264722068.94267517
52101 H2_overground,eGon2035_lowflex,52101,H2_overground,270130.597920696,114754.93055078943,44.88727243648892,270130.597920696
