name,p_nom_max,weight,p_nom,efficiency,p_nom_opt,marginal_cost,e_nom_max,p_max_pu,up_time_before,carrier,bus,control
0 OCGT,inf,4873.809523809524,4873.809523809524,0.42,4873.809523809524,10.714285714285715,0.0,1.0,1,OCGT,0,PQ
0 biomass,inf,132.346215405185,132.346215405185,1.0,132.346215405185,42.10742537789992,inf,1.0,0,biomass,0,Slack
0 central_biomass_CHP,inf,151.59569528653554,151.59569528653554,1.0,151.59569528653554,42.10834139226929,inf,1.0,0,central_biomass_CHP,0,PV
0 central_gas_CHP,inf,17692.816594029315,17692.816594029315,0.42999999999999994,17692.816594029315,4.121917999636024,0.0,1.0,1,central_gas_CHP,0,PQ
0 industrial_biomass_CHP,inf,282.48594998506667,282.48594998506667,1.0,282.48594998506667,42.107886346212844,inf,1.0,0,industrial_biomass_CHP,0,PV
0 industrial_gas_CHP,inf,4307.117292318099,4307.117292318099,0.43,4307.117292318099,4.15,0.0,1.0,1,industrial_gas_CHP,0,PQ
0 load shedding,inf,194147294.15354267,194147294.15354267,1.0,194147294.15354267,10000.007867906914,0.0,1.0,1,load shedding,0,PQ
0 oil,inf,65.6,65.6,1.0,65.6,101.84143624159161,inf,1.0,0,oil,0,PV
0 others,inf,373.6608077647899,373.6608077647899,1.0,373.6608077647899,0.005116088896550663,inf,1.0,0,others,0,PV
0 reservoir,inf,34.80747775405502,34.80747775405502,1.0,34.80747775405502,0.009296474887086658,inf,0.65,0,reservoir,0,PV
0 run_of_river,inf,4.303359547807146,4.303359547807146,1.0,4.303359547807146,0.007870192589718647,inf,0.65,0,run_of_river,0,PV
0 solar,inf,415.39384001822475,415.39384001822475,1.0,415.39384001822475,0.01836352710065584,inf,1.0,0,solar,0,PV
0 solar_rooftop,inf,12430.761372304343,12430.761372304343,1.0,12430.761372304343,0.018291578315177786,inf,1.0,0,solar_rooftop,0,PV
0 wind_offshore,inf,1250.0,1250.0,1.0,1250.0,2.5710282284921226,inf,1.0,0,wind_offshore,0,PV
0 wind_onshore,inf,5233.724898293416,5233.724898293416,1.0,5233.724898293416,1.3083614524632234,inf,1.0,0,wind_onshore,0,PV
1 OCGT,inf,243.57142857142858,243.57142857142858,0.42,243.57142857142858,10.714285714285715,0.0,1.0,1,OCGT,1,PQ
1 biomass,inf,61.55848698062784,61.55848698062784,1.0,61.55848698062784,42.110664852365296,inf,1.0,0,biomass,1,PV
1 central_biomass_CHP,inf,55.18037955065731,55.18037955065731,1.0,55.18037955065731,42.10684085863922,inf,1.0,0,central_biomass_CHP,1,PV
1 central_gas_CHP,inf,5431.751624068236,5431.751624068236,0.43,5431.751624068236,4.124207853168952,0.0,1.0,1,central_gas_CHP,1,PQ
1 industrial_biomass_CHP,inf,233.50952287426287,233.50952287426287,1.0,233.50952287426287,42.108827350564496,inf,1.0,0,industrial_biomass_CHP,1,PV
1 industrial_gas_CHP,inf,723.4055479015091,723.4055479015091,0.43,723.4055479015091,4.15,0.0,1.0,1,industrial_gas_CHP,1,PQ
1 load shedding,inf,71821809.47117983,71821809.47117983,1.0,71821809.47117983,10000.007607132558,0.0,1.0,1,load shedding,1,PQ
1 oil,inf,137.0,137.0,1.0,137.0,101.84064809348666,inf,1.0,0,oil,1,PV
1 run_of_river,inf,91.53834402651046,91.53834402651046,1.0,91.53834402651046,0.007744255483890541,inf,0.65,0,run_of_river,1,PV
1 solar,inf,2515.963406363212,2515.963406363212,1.0,2515.963406363212,0.017762305991812288,inf,1.0,0,solar,1,PV
1 solar_rooftop,inf,4091.911002921256,4091.911002921256,1.0,4091.911002921256,0.0179743587561833,inf,1.0,0,solar_rooftop,1,PV
1 wind_onshore,inf,3488.22405766517,3488.22405766517,1.0,3488.22405766517,1.307929173822786,inf,1.0,0,wind_onshore,1,PV
10 biomass,inf,86.1705560780685,86.1705560780685,1.0,86.1705560780685,42.107898229409734,inf,1.0,0,biomass,10,PV
10 central_biomass_CHP,inf,143.8954526485687,143.8954526485687,1.0,143.8954526485687,42.10826821554371,inf,1.0,0,central_biomass_CHP,10,PV
10 central_gas_CHP,inf,12023.514171284387,12023.514171284387,0.43,12023.514171284387,4.11916179771572,0.0,1.0,1,central_gas_CHP,10,PQ
10 industrial_biomass_CHP,inf,343.51400843076397,343.51400843076397,1.0,343.51400843076397,42.10703960224683,inf,1.0,0,industrial_biomass_CHP,10,PV
10 industrial_gas_CHP,inf,942.9311131525138,942.9311131525138,0.43000000000000005,942.9311131525138,4.15,0.0,1.0,1,industrial_gas_CHP,10,PQ
10 load shedding,inf,101134244.0786755,101134244.0786755,1.0,101134244.0786755,10000.007799461175,0.0,1.0,1,load shedding,10,PQ
10 run_of_river,inf,7.478230429539525,7.478230429539525,1.0,7.478230429539525,0.006974800398246422,inf,0.65,0,run_of_river,10,PV
10 solar,inf,4356.950914878781,4356.950914878781,1.0,4356.950914878781,0.017796341863103797,inf,1.0,0,solar,10,PV
10 solar_rooftop,inf,4107.333398130077,4107.333398130077,1.0,4107.333398130077,0.01833809127254434,inf,1.0,0,solar_rooftop,10,PV
10 wind_onshore,inf,8803.679665154012,8803.679665154012,1.0,8803.679665154012,1.30790927532308,inf,1.0,0,wind_onshore,10,PV
10866 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.0016399737,0.0,1.0,1,load shedding,10866,PQ
11 biomass,inf,28.941176749913854,28.941176749913854,1.0,28.941176749913854,42.10778033136937,inf,1.0,0,biomass,11,PV
