name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035_lowflex,12,52043,rural_heat_pump,1361.5068478992312,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1361.5068478992312,DE,inf,False,,,,,,1.0,1.0
1,eGon2035_lowflex,12,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,1325.7253221981098,DE,31.0,False,,,,,,1.0,1.0
2,eGon2035_lowflex,12,52118,central_heat_pump,18.99590817848113,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.99590817848113,DE,inf,False,,,,,,1.0,1.0
3,eGon2035_lowflex,12,52118,central_resistive_heater,19.68408599600622,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.68408599600622,DE,inf,False,,,,,,1.0,1.0
4,eGon2035_lowflex,13,50834,central_heat_pump,1.5271671825790143,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5271671825790143,DE,inf,False,,,,,,1.0,1.0
5,eGon2035_lowflex,13,50834,central_resistive_heater,1.9546555277199484,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.9546555277199484,DE,inf,False,,,,,,1.0,1.0
6,eGon2035_lowflex,13,52053,rural_heat_pump,2773.0674058476247,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2773.0674058476247,DE,inf,False,,,,,,1.0,1.0
7,eGon2035_lowflex,13,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,950.1341564766493,DE,31.0,False,,,,,,1.0,1.0
8,eGon2035_lowflex,13,52110,central_heat_pump,127.67850528371937,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,127.67850528371937,DE,inf,False,,,,,,1.0,1.0
9,eGon2035_lowflex,13,52110,central_resistive_heater,121.97838064786139,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,121.97838064786139,DE,inf,False,,,,,,1.0,1.0
10,eGon2035_lowflex,12,10,DC,600.0,True,2400.0,6215.39225963584,1003.787488140174,1.0,600.0,-1.0,1.0,0.0,600.0859991269365,SE,inf,False,,,,,,1.0,1.0
11,eGon2035_lowflex,12,52043,rural_heat_pump,1748.3879492136343,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1748.3879492136343,DE,inf,False,,,,,,1.0,1.0
12,eGon2035_lowflex,12,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,1325.624367202785,DE,31.0,False,,,,,,1.0,1.0
13,eGon2035_lowflex,12,52116,central_heat_pump,24.616179786596437,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.616179786596437,DE,inf,False,,,,,,1.0,1.0
14,eGon2035_lowflex,12,52116,central_resistive_heater,18.5907289915513,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.5907289915513,DE,inf,False,,,,,,1.0,1.0
15,eGon2035_lowflex,12,52122,central_heat_pump,53.30677604729444,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,53.30677604729444,DE,inf,False,,,,,,1.0,1.0
16,eGon2035_lowflex,12,52122,central_resistive_heater,72.2607540079574,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.2607540079574,DE,inf,False,,,,,,1.0,1.0
17,eGon2035_lowflex,12,52043,rural_heat_pump,1821.7303863716863,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1821.7303863716863,DE,inf,False,,,,,,1.0,1.0
18,eGon2035_lowflex,12,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,1325.9679697396884,DE,31.0,False,,,,,,1.0,1.0
19,eGon2035_lowflex,12,52114,central_heat_pump,15.695350678171,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.695350678171,DE,inf,False,,,,,,1.0,1.0
20,eGon2035_lowflex,12,52114,central_resistive_heater,31.499404920324107,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.499404920324107,DE,inf,False,,,,,,1.0,1.0
21,eGon2035_lowflex,11,52040,rural_heat_pump,5349.013335100388,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5349.013335100388,DE,inf,False,,,,,,1.0,1.0
22,eGon2035_lowflex,11,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,313.93577381535556,DE,31.0,False,,,,,,1.0,1.0
23,eGon2035_lowflex,11,52111,central_heat_pump,214.42758490394272,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,214.42758490394272,DE,inf,False,,,,,,1.0,1.0
24,eGon2035_lowflex,11,52111,central_resistive_heater,238.77925345104558,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,238.77925345104558,DE,inf,False,,,,,,1.0,1.0
25,eGon2035_lowflex,11,52117,central_heat_pump,10.86857209129434,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.86857209129434,DE,inf,False,,,,,,1.0,1.0
26,eGon2035_lowflex,11,52117,central_resistive_heater,15.086076340216607,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.086076340216607,DE,inf,False,,,,,,1.0,1.0
27,eGon2035_lowflex,12,52043,rural_heat_pump,475.7094947386199,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,475.7094947386199,DE,inf,False,,,,,,1.0,1.0
28,eGon2035_lowflex,12,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,1325.9654447027624,DE,31.0,False,,,,,,1.0,1.0
29,eGon2035_lowflex,12,52119,central_heat_pump,2.6511536468868977,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.6511536468868977,DE,inf,False,,,,,,1.0,1.0
30,eGon2035_lowflex,12,52119,central_resistive_heater,0.522020698263732,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.522020698263732,DE,inf,False,,,,,,1.0,1.0
31,eGon2035_lowflex,13,50834,central_heat_pump,3.089680913862424,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.089680913862424,DE,inf,False,,,,,,1.0,1.0
32,eGon2035_lowflex,13,50834,central_resistive_heater,3.954551895865889,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.954551895865889,DE,inf,False,,,,,,1.0,1.0
33,eGon2035_lowflex,13,52053,rural_heat_pump,2059.4647771194495,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2059.4647771194495,DE,inf,False,,,,,,1.0,1.0
34,eGon2035_lowflex,13,52101,power_to_H2,0.0,True,inf,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,950.1610178382679,DE,31.0,False,,,,,,1.0,1.0
35,eGon2035_lowflex,13,52108,central_heat_pump,33.20548898905893,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.20548898905893,DE,inf,False,,,,,,1.0,1.0
36,eGon2035_lowflex,13,52108,central_resistive_heater,24.337810830898018,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.337810830898018,DE,inf,False,,,,,,1.0,1.0
37,eGon2035_lowflex,11,52040,rural_heat_pump,2114.961582291475,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2114.961582291475,DE,inf,False,,,,,,1.0,1.0
38,eGon2035_lowflex,11,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,313.9357436405286,DE,31.0,False,,,,,,1.0,1.0
39,eGon2035_lowflex,11,52103,central_heat_pump,41.02868733750352,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.02868733750352,DE,inf,False,,,,,,1.0,1.0
40,eGon2035_lowflex,11,52103,central_resistive_heater,26.22957365149466,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,26.22957365149466,DE,inf,False,,,,,,1.0,1.0
41,eGon2035_lowflex,11,52107,central_heat_pump,21.689546427093443,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.689546427093443,DE,inf,False,,,,,,1.0,1.0
42,eGon2035_lowflex,11,52107,central_resistive_heater,27.727493703228593,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27.727493703228593,DE,inf,False,,,,,,1.0,1.0
43,eGon2035_lowflex,11,52040,rural_heat_pump,1209.5511992873674,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1209.5511992873674,DE,inf,False,,,,,,1.0,1.0
44,eGon2035_lowflex,11,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,313.93570191927125,DE,31.0,False,,,,,,1.0,1.0
45,eGon2035_lowflex,11,52109,central_heat_pump,22.912716391801272,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.912716391801272,DE,inf,False,,,,,,1.0,1.0
46,eGon2035_lowflex,11,52109,central_resistive_heater,15.405416833173764,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.405416833173764,DE,inf,False,,,,,,1.0,1.0
47,eGon2035_lowflex,13,4,DC,600.0,True,2400.0,3369.382001381578,444.6796172986346,1.0,600.0,-1.0,1.0,0.0,600.0832639827353,DK,inf,False,,,,,,1.0,1.0
48,eGon2035_lowflex,13,52053,rural_heat_pump,535.8536509801519,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,535.8536509801519,DE,inf,False,,,,,,1.0,1.0
49,eGon2035_lowflex,13,52101,power_to_H2,0.0,True,27.0,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,25.350896570759986,DE,31.0,False,,,,,,1.0,1.0
50,eGon2035_lowflex,13,52120,central_heat_pump,37.15757087730321,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.15757087730321,DE,inf,False,,,,,,1.0,1.0
51,eGon2035_lowflex,13,52120,central_resistive_heater,32.42399252108582,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32.42399252108582,DE,inf,False,,,,,,1.0,1.0
52,eGon2035_lowflex,11,52040,rural_heat_pump,3063.33788523027,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3063.33788523027,DE,inf,False,,,,,,1.0,1.0
53,eGon2035_lowflex,11,52101,power_to_H2,0.0,True,inf,461.22415334238485,0.0,0.7,0.0,0.0,1.0,0.0,313.93569422665007,DE,31.0,False,,,,,,1.0,1.0
54,eGon2035_lowflex,11,52102,central_heat_pump,37.48215166254799,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.48215166254799,DE,inf,False,,,,,,1.0,1.0
55,eGon2035_lowflex,11,52102,central_resistive_heater,20.393690220271992,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.393690220271992,DE,inf,False,,,,,,1.0,1.0
56,eGon2035_lowflex,11,52105,central_heat_pump,63.62331802825719,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63.62331802825719,DE,inf,False,,,,,,1.0,1.0
57,eGon2035_lowflex,11,52105,central_resistive_heater,84.28672760004186,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,84.28672760004186,DE,inf,False,,,,,,1.0,1.0
58,eGon2035_lowflex,11,52107,central_heat_pump,5.547228433360994,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.547228433360994,DE,inf,False,,,,,,1.0,1.0
59,eGon2035_lowflex,11,52107,central_resistive_heater,7.075377310722223,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.075377310722223,DE,inf,False,,,,,,1.0,1.0
60,eGon2035_lowflex,1,6,DC,0.0,True,0.0,1124.2231601984165,698.6620601888327,1.0,0.0,-1.0,1.0,0.010608893260563735,0.0,BEGB,inf,False,,,,,,1.0,1.0
62,eGon2035_lowflex,4,6,DC,0.0,True,0.0,3002.386658453627,980.7475181086178,1.0,0.0,-1.0,1.0,0.010383478690140533,0.0,DKGB,inf,False,,,,,,1.0,1.0
63,eGon2035_lowflex,4,7,DC,0.0,True,0.0,1251.4153176493392,517.121012349445,1.0,0.0,-1.0,1.0,0.010988884892469955,0.0,DKNL,inf,False,,,,,,1.0,1.0
64,eGon2035_lowflex,4,8,DC,940.0,True,3760.0,1182.176903792305,597.9571155009771,1.0,940.0,-1.0,1.0,0.009122941939948524,940.173802755362,DKNO,inf,False,,,,,,1.0,1.0
65,eGon2035_lowflex,4,10,DC,850.0,True,3400.0,935.6214102095232,693.9156446945748,1.0,850.0,-1.0,1.0,0.010534828551279539,850.0024295013455,DKSE,inf,False,,,,,,1.0,1.0
66,eGon2035_lowflex,5,6,DC,2000.0,True,8000.0,1296.5642241811213,944.9760291193949,1.0,2000.0,-1.0,1.0,0.010065272946990302,7999.993753767431,FRGB,inf,False,,,,,,1.0,1.0
68,eGon2035_lowflex,6,7,DC,1000.0,True,4000.0,1448.4357468895505,662.7704706997799,1.0,1000.0,-1.0,1.0,0.01051664063156824,3999.9966789312793,GBNL,inf,False,,,,,,1.0,1.0
69,eGon2035_lowflex,6,8,DC,0.0,True,0.0,2262.219965611912,1081.679536362336,1.0,0.0,-1.0,1.0,0.009320031688580132,0.0,GBNO,inf,False,,,,,,1.0,1.0
70,eGon2035_lowflex,7,8,DC,700.0,True,2800.0,2202.894345654306,974.5374824832013,1.0,700.0,-1.0,1.0,0.00917766700484962,700.0011928728463,NLNO,inf,False,,,,,,1.0,1.0
71,eGon2035_lowflex,9,10,DC,600.0,True,2400.0,1523.503082414779,1099.7655712561213,1.0,600.0,-1.0,1.0,0.01026030450633768,600.0951188905327,PLSE,inf,False,,,,,,1.0,1.0
72,eGon2035_lowflex,48639,0,OCGT,5998.4523758690475,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,5998.4523758690475,ATAT,inf,True,,,,0.0,1.0,0.2,0.2
73,eGon2035_lowflex,48639,48641,CH4,27125.0,False,inf,0.0,415.62221327154276,1.0,0.0,-1.0,1.0,0.0,27125.0,ATCH,inf,False,,,,,,1.0,1.0
74,eGon2035_lowflex,48639,48642,CH4,16785.0,False,inf,0.0,281.7514401453481,1.0,0.0,-1.0,1.0,0.0,16785.0,ATCZ,inf,False,,,,,,1.0,1.0
75,eGon2035_lowflex,48639,52087,CH4,38766.66666666662,False,inf,0.0,453.50948538236383,1.0,0.0,-1.0,1.0,0.0,38766.66666666662,AT,inf,False,,,,,,1.0,1.0
76,eGon2035_lowflex,48640,1,OCGT,20680.000029833333,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,20680.000029833333,BEBE,inf,True,,,,0.0,1.0,0.2,0.2
77,eGon2035_lowflex,48640,48644,CH4,42708.3333333333,False,inf,0.0,453.73185086841903,1.0,0.0,-1.0,1.0,0.0,42708.3333333333,BEFR,inf,False,,,,,,1.0,1.0
78,eGon2035_lowflex,48640,48645,CH4,60629.1666666667,False,inf,0.0,852.7217996254446,1.0,0.0,-1.0,1.0,0.0,60629.1666666667,BEGB,inf,False,,,,,,1.0,1.0
79,eGon2035_lowflex,48640,48646,CH4,2033.33333333333,False,inf,0.0,151.7476169130087,1.0,0.0,-1.0,1.0,0.0,2033.33333333333,BELU,inf,False,,,,,,1.0,1.0
80,eGon2035_lowflex,48640,48647,CH4,71159.6578333333,False,inf,0.0,188.68558083512778,1.0,0.0,-1.0,1.0,0.0,71159.6578333333,BENL,inf,False,,,,,,1.0,1.0
81,eGon2035_lowflex,48640,48648,CH4,20333.3333333333,False,inf,0.0,1162.1924417440246,1.0,0.0,-1.0,1.0,0.0,20333.3333333333,BENO,inf,False,,,,,,1.0,1.0
82,eGon2035_lowflex,48640,52087,CH4,30337.5,False,inf,0.0,352.3741382482666,1.0,0.0,-1.0,1.0,0.0,30337.5,BE,inf,False,,,,,,1.0,1.0
83,eGon2035_lowflex,48641,2,OCGT,585.7142947619047,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,585.7142947619047,CHCH,inf,True,,,,0.0,1.0,0.2,0.2
