name,scn_name,bus,carrier,p_set
0 AC,eGon2035_lowflex,0,AC,0.0
0 H2_for_industry,eGon2035_lowflex,0,H2_for_industry,415.02148427083335
1 AC,eGon2035_lowflex,1,AC,0.0
1 H2_for_industry,eGon2035_lowflex,1,H2_for_industry,1598.13083625
10 AC,eGon2035_lowflex,10,AC,0.0
10 H2_for_industry,eGon2035_lowflex,10,H2_for_industry,1201.6882454166666
11 AC,eGon2035_lowflex,11,AC,0.0
11 land_transport_EV,eGon2035_lowflex,11,land_transport_EV,0.0
12 AC,eGon2035_lowflex,12,AC,0.0
12 land_transport_EV,eGon2035_lowflex,12,land_transport_EV,0.0
13 AC,eGon2035_lowflex,13,AC,0.0
13 land_transport_EV,eGon2035_lowflex,13,land_transport_EV,0.0
2 AC,eGon2035_lowflex,2,AC,0.0
3 AC,eGon2035_lowflex,3,AC,0.0
3 H2_for_industry,eGon2035_lowflex,3,H2_for_industry,517.5741359166666
4 AC,eGon2035_lowflex,4,AC,0.0
4 H2_for_industry,eGon2035_lowflex,4,H2_for_industry,1529.8526683333332
48639 CH4,eGon2035_lowflex,48639,CH4,0.0
48640 CH4,eGon2035_lowflex,48640,CH4,0.0
48641 CH4,eGon2035_lowflex,48641,CH4,0.0
48642 CH4,eGon2035_lowflex,48642,CH4,0.0
48643 CH4,eGon2035_lowflex,48643,CH4,0.0
48644 CH4,eGon2035_lowflex,48644,CH4,0.0
48645 CH4,eGon2035_lowflex,48645,CH4,0.0
48646 CH4,eGon2035_lowflex,48646,CH4,0.0
48647 CH4,eGon2035_lowflex,48647,CH4,0.0
48648 CH4,eGon2035_lowflex,48648,CH4,0.0
48649 CH4,eGon2035_lowflex,48649,CH4,0.0
48650 CH4,eGon2035_lowflex,48650,CH4,0.0
5 AC,eGon2035_lowflex,5,AC,0.0
5 H2_for_industry,eGon2035_lowflex,5,H2_for_industry,1651.7463891666666
50834 central_heat,eGon2035_lowflex,50834,central_heat,0.0
52040 rural_heat,eGon2035_lowflex,52040,rural_heat,0.0
52043 rural_heat,eGon2035_lowflex,52043,rural_heat,0.0
52053 rural_heat,eGon2035_lowflex,52053,rural_heat,0.0
52087 CH4_for_industry,eGon2035_lowflex,52087,CH4_for_industry,0.0
52087 rural_gas_boiler,eGon2035_lowflex,52087,rural_gas_boiler,0.0
52101 H2_for_industry,eGon2035_lowflex,52101,H2_for_industry,0.0
52101 H2_hgv_load,eGon2035_lowflex,52101,H2_hgv_load,0.0
52102 central_heat,eGon2035_lowflex,52102,central_heat,0.0
52103 central_heat,eGon2035_lowflex,52103,central_heat,0.0
52104 central_heat,eGon2035_lowflex,52104,central_heat,0.0
52105 central_heat,eGon2035_lowflex,52105,central_heat,0.0
52106 central_heat,eGon2035_lowflex,52106,central_heat,0.0
52107 central_heat,eGon2035_lowflex,52107,central_heat,0.0
52108 central_heat,eGon2035_lowflex,52108,central_heat,0.0
52109 central_heat,eGon2035_lowflex,52109,central_heat,0.0
52110 central_heat,eGon2035_lowflex,52110,central_heat,0.0
52111 central_heat,eGon2035_lowflex,52111,central_heat,0.0
52112 central_heat,eGon2035_lowflex,52112,central_heat,0.0
52114 central_heat,eGon2035_lowflex,52114,central_heat,0.0
52115 central_heat,eGon2035_lowflex,52115,central_heat,0.0
52116 central_heat,eGon2035_lowflex,52116,central_heat,0.0
52117 central_heat,eGon2035_lowflex,52117,central_heat,0.0
52118 central_heat,eGon2035_lowflex,52118,central_heat,0.0
52119 central_heat,eGon2035_lowflex,52119,central_heat,0.0
52120 central_heat,eGon2035_lowflex,52120,central_heat,0.0
52121 central_heat,eGon2035_lowflex,52121,central_heat,0.0
52122 central_heat,eGon2035_lowflex,52122,central_heat,0.0
6 AC,eGon2035_lowflex,6,AC,0.0
6 H2_for_industry,eGon2035_lowflex,6,H2_for_industry,1726.8721004166664
7 AC,eGon2035_lowflex,7,AC,0.0
7 H2_for_industry,eGon2035_lowflex,7,H2_for_industry,1694.1099472916665
8 AC,eGon2035_lowflex,8,AC,0.0
9 AC,eGon2035_lowflex,9,AC,0.0
9 H2_for_industry,eGon2035_lowflex,9,H2_for_industry,609.9109516041666
