,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,45345573.072770424,3716872.5263061556,7523307.539087176,1996032.1751304609,47071397.86815389,18997485.820553612,42063818.24234811,17000723.021260258,1485104.8501120561,81299424.25740488,175151.37714369228
1,45354187.94928343,3728481.9708660906,7536710.899206422,2001558.2959330014,47104200.6257834,19040013.20420062,42090008.23178827,17027688.03657145,1485363.7741648522,81368929.17105481,177706.61493134784
2,45361561.75769391,3739440.659082902,7541920.755708463,2007010.6106282088,47132887.45694456,19080641.385498874,42114746.25090078,17052387.03560773,1485218.8695563166,81478250.32129893,180215.61445376155
3,45365934.89766316,3744032.2820505113,7542466.828165133,2010248.7499076459,47141459.32492772,19118994.076397937,42129823.2436008,17067869.574621532,1485188.1923497526,81579506.53480819,182695.0668273846
4,45364572.64633469,3736409.225013506,7535781.652361813,2011234.4195008813,47111372.83516354,19148089.554088898,42125347.934875056,17064863.902263843,1484017.0608028679,81672545.33685197,185209.82699266772
5,45362153.581161804,3724987.270474176,7530699.2830957025,2011020.9355549635,47071029.53203355,19160495.466318313,42115730.447599925,17057331.04860797,1483149.3920244516,81718321.84838815,187673.0383735978
6,45360188.42496124,3716410.0836960296,7522168.421546388,2011422.666525189,47037873.88825102,19167598.780434456,42110172.937402606,17053286.212101568,1482170.3390652153,81754177.16178948,190127.21802181838
7,45358864.18948704,3709160.1105668363,7514597.485858569,2012093.7478094571,47009411.69828655,19178178.902378246,42107232.68991888,17051630.730223544,1481276.5538027652,81797887.53653863,192586.1841256022
8,45358308.491427384,3703429.6022811476,7510193.020623757,2012926.6471799465,46985885.309357956,19191136.12789183,42106858.27733552,17052449.628117673,1480578.6306206887,81840530.01336929,195038.1223318275
9,45358997.626890585,3698534.7686317516,7511974.448423713,2013357.6302533778,46967059.112373844,19207642.584397484,42108675.03924482,17055782.049231485,1480694.6982687064,81833552.17334159,197481.78301278068
10,45360091.38517847,3694817.7227602745,7514494.257074741,2013876.2195834601,46951781.2861899,19222811.024612453,42112216.03288928,17060907.463418048,1480996.4699675532,81827669.39301446,199936.7374879045
11,45360949.276723355,3692439.4333550883,7513098.080109309,2015072.5920662247,46938215.95103454,19234475.058799323,42116790.82250753,17066752.613611285,1480750.5048214886,81863136.73859367,202431.58303243524
12,45361926.65343327,3690794.934145357,7511047.101814944,2016397.3381485832,46926296.12382957,19245254.058687896,42122154.2270158,17073449.845846385,1480541.6801326587,81921727.36914472,204867.43467149278
13,45362871.399289444,3689274.947176059,7508990.36659827,2017736.2151515647,46914295.76073472,19255717.223753784,42127364.2496664,17080124.896098197,1480306.6200208273,81965280.63417867,207408.50494109883
