,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,-10010.790911063552,-14083.72877633525,-14405.053109631874,-7011.5072049186565,-33096.26303037256,-42564.2638383843,-20890.874060697854,-26858.90105841309,1365.8060301905498,-83401.04396912456,-2518.4592560422607
1,-10318.178766325116,-13197.732880784664,-15980.565915537998,-7963.213463355787,-34162.30979397148,-41383.40767008439,-24803.229307606816,-26548.229701470584,1798.0647458790336,-74992.5292121023,-2553.6138912043243
2,-9333.939379572868,-12064.467378132977,-9912.978049083613,-7155.236369375372,-29567.372709594667,-39707.32132280618,-23719.433108597994,-24099.12313857302,1248.1564131602645,-79242.23216934502,-2505.863744940114
3,-5907.329904802144,-5696.054997401778,-5195.327667659149,-3357.980339960661,-9285.54086380452,-37424.14024167508,-14242.33396498859,-15379.437330115587,60.289480751147494,-71666.22585506737,-2476.1610080748505
4,217.13644717633724,6746.232527499087,5681.884335133247,-869.930505765602,29618.356689937413,-28327.94701354578,5022.188159406185,3170.6742295511067,898.5916110246908,-74067.97269751132,-2511.864716635697
5,1957.1384173110127,10058.670939049684,8853.416128299199,95.28065485181287,39741.86234073341,-10824.41626336053,9727.094195790589,7642.210126381367,949.7964339714963,-66751.70230799913,-2460.096853233088
6,1109.5624281391501,8034.922180621885,6956.215143948793,26.563269237056375,33089.27129742503,-6871.9513425044715,5997.781092092395,4051.8525493480265,553.9409585813992,-12613.552095726132,-2450.7056384639
7,508.59036269038916,6712.719561513048,4641.800767302513,-37.49813482374884,28620.921259753406,-10552.192171040922,3413.662751175463,1571.0562684200704,353.6673498924356,-17935.21632245183,-2455.500383595645
8,-223.39466389268637,5696.324559729081,804.9054183550179,88.03965179086663,24020.89093761891,-13513.492438599467,801.6655714586377,-939.5892120115459,-139.66579945385456,-11739.503996267915,-2449.9083269160474
9,-846.089363090694,4220.720379296225,-867.3337762271985,-95.76996622001752,19181.91551773995,-16054.436752773821,-1855.3901441916823,-3419.4733530022204,-348.10085346968845,-4784.03662660718,-2441.3799895495176
10,-1172.9515637010336,3073.252296544146,-1532.96665675845,-330.3357969550416,15739.416295945644,-15081.902907211334,-3583.8931104689837,-5167.2712642252445,-434.09411123604514,-4056.2767949551344,-2452.233424177859
11,-1225.217820033431,2624.1429742625915,-1772.560048445128,-464.1652928062249,14212.015993408859,-12661.859767004848,-4458.456841289997,-5937.4808810018,-453.39603923796676,-13050.007879912853,-2491.9119357289455
12,-1348.4458581134677,2109.374178155791,-2201.980825405568,-597.5736946624238,12451.993650831282,-11789.96719713509,-5386.768419362605,-6792.3150954023,-481.1024501568172,-31630.93205343187,-2433.0908645068994
13,-1257.8094626739621,2072.9464777456596,-2362.298458766192,-612.5107093842234,12507.474391587079,-11473.23918062821,-5300.990664631128,-6758.80820832774,-463.89733314630575,-15498.645997807384,-2538.3227239183325
14,-991.5187793672085,2414.297246803064,-2323.1453041546047,-539.8373398270924,14016.757491678,-10487.859546359628,-4372.611160799861,-6005.270270489156,-407.5953064346686,-5339.2993530631065,-2462.4266385420633
15,-262.04861184209585,3694.853162655141,-907.0600356673822,-419.33333120588213,18211.94817329943,-13109.371226087213,-2158.106753870845,-3919.266784545034,-157.43553315103054,-7384.096718534827,-2513.24822009512
16,826.7121823579073,4569.98767105164,3172.923709503375,-574.6237690378912,22653.90298718214,-7590.7585436441,222.56333753466606,-1634.4799503535032,422.93492169934325,-20907.30140709877,-2502.439608946326
17,1536.877234093845,5668.223231280688,4266.472843553871,-408.82049467321485,26636.246380269527,-5418.30214234069,2465.6529305949807,332.39309250563383,606.7365484591573,-23664.673166051507,-2423.8147926162637
18,1873.4238467141986,6211.593942811713,4087.727809906006,-248.4074474957306,28927.74612610787,-3472.4282896891236,3956.982647500932,1449.1788910403848,660.5250776282046,-33470.73067048192,-2445.998510047444
