name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035,0,battery,0.0,True,286.33055712171597,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,286.3305571750303
1 battery,eGon2035,1,battery,0.0,True,804.1386243770011,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,804.138624399834
10 battery,eGon2035,10,battery,0.0,True,231.9457564652811,1.0,221.79337845314453,True,6.0,0.9797958971132712,0.9797958971132712,PV,231.945756498819
11 battery,eGon2035,11,battery,0.0,True,1012.4113976348682,1.0,221.79337845314456,True,5.999999999999999,0.9797958971132712,0.9797958971132712,PV,1012.4113976591649
11 pumped_hydro,eGon2035,11,pumped_hydro,1911.3999999999999,False,0.0,1.0,0.0,True,6.000000000000001,0.8660254037844386,0.8660254037844386,PV,1911.3999999999999
12 battery,eGon2035,12,battery,0.0,True,2056.7834649535766,0.9999999999999999,221.79337845314456,True,5.999999999999999,0.9797958971132712,0.9797958971132712,PV,2056.783464973365
12 pumped_hydro,eGon2035,12,pumped_hydro,218.0,False,0.0,1.0,0.0,True,6.000000000000001,0.8660254037844387,0.8660254037844387,PV,218.0
13 battery,eGon2035,13,battery,0.0,True,400.35926764444565,1.0,221.79337845314456,True,6.0,0.9797958971132711,0.9797958971132711,PV,400.3592676712512
14 battery,eGon2035,14,battery,0.0,True,2350.5965459662643,1.0,221.79337845314456,True,6.0,0.9797958971132713,0.9797958971132713,PV,2350.5965459851654
14 pumped_hydro,eGon2035,14,pumped_hydro,322.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,322.0
15 battery,eGon2035,15,battery,0.0,True,600.0340684779852,1.0,221.79337845314453,True,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,600.0340685131496
15 pumped_hydro,eGon2035,15,pumped_hydro,910.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844386,0.8660254037844386,PV,910.0
2 battery,eGon2035,2,battery,0.0,True,1651.0371594379508,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,1651.0371594637581
2 pumped_hydro,eGon2035,2,pumped_hydro,252.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844387,0.8660254037844387,PV,252.0
3 battery,eGon2035,3,battery,0.0,True,628.0827901803311,1.0,221.79337845314456,True,6.000000000000001,0.9797958971132711,0.9797958971132711,PV,628.0827902205293
3 pumped_hydro,eGon2035,3,pumped_hydro,730.0,False,0.0,1.0,0.0,True,6.0,0.8660254037844387,0.8660254037844387,PV,730.0
32145 battery,eGon2035,32145,battery,0.0,True,8.060750207534015,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,8.060750220143497
32904 battery,eGon2035,32904,battery,0.0,True,1.1027772619295944,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,1.1027773478920289
32905 battery,eGon2035,32905,battery,0.0,True,1.2375258055810536,1.0,221.79337845314456,True,6.0,0.9797958971132712,0.9797958971132712,PV,1.237525911745608
