,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,52087 CH4,52101 H2_overground
0,47787888.53936494,3741079.0564318313,7575623.340449245,2002057.0183311962,52143358.68135688,19980874.792102892,45601313.55635219,17600597.69126407,1468958.2586429568,116206310.08913353,148995.55342046806
1,47773219.613786556,3683226.0747180907,7544644.153988455,1998789.3430396477,51938573.161257245,20027241.770696476,45552591.12492355,17563415.964474823,1465240.2637397137,115671565.29518066,162316.70369120027
2,47776719.49570471,3667984.5235893717,7539000.80341961,2001969.6679922792,51861459.878808245,20119008.262418028,45566469.21925516,17587782.491944753,1466646.1335772634,115133636.62865745,175608.0658617132
3,47778763.29979909,3647178.591815431,7532570.263396307,2004636.2379248952,51770389.97498565,20216999.027849182,45574443.23038136,17605924.865400095,1467653.4105548689,114548254.31145397,189201.57788029345
4,47780878.77212998,3630543.12829665,7525877.872756809,2007343.0983118839,51679716.09609541,20290965.83812141,45581696.563935414,17623959.725471135,1468661.7971065762,113990389.5635004,202506.24779968857
5,47818745.31971333,3682061.126802753,7568303.557013925,2019231.1328028452,51826880.69405025,20326218.976857707,45698237.15970281,17750690.21291661,1477503.063880023,114020810.53244892,215979.92765326417
6,47809059.54075681,3624255.6182807316,7546229.689890223,2007548.3424075027,51639024.270468205,20285120.153954394,45625237.89432792,17707385.001541793,1475666.4744584234,113967758.81861795,228536.33922581188
7,47814242.50579359,3604591.443068274,7544487.627437235,2003153.2641142183,51554554.730601214,20320452.76863041,45610521.17181779,17716583.284996543,1476934.891746025,114466521.3103961,240845.15595478012
8,47813255.77296523,3570859.571481571,7534745.307440396,1995525.3703397086,51418538.270290285,20244999.883403894,45569296.83926058,17702684.75039764,1476770.3479113511,115217784.17402266,228974.41181162396
9,47829438.50191648,3578906.326836184,7551187.583493995,1996205.6699874953,51401188.437932014,20025691.392920207,45592990.84239078,17748949.05294441,1480557.21908791,116213977.8940752,213088.24191982098
10,47857577.645577006,3630426.5630059666,7588535.833875361,2004263.970057335,51468524.5810375,19993657.353819765,45677224.32120548,17844551.33475432,1487431.5941190168,117849012.36409408,197510.08640273497
11,47813348.42043012,3586295.767064272,7586474.794337898,1989732.8208363792,51209686.77135306,19798376.564839058,45564355.032834314,17779050.981511574,1484961.2432868136,121025575.08146413,172610.26815989977
12,47782222.151946,3573025.768144105,7595419.078167609,1982029.4243844156,51050622.62921289,19639347.21609722,45523789.67825104,17763023.224760734,1484804.4676457741,124338637.12520133,147824.7383353047
13,47738747.03484912,3533114.812534349,7586814.72110982,1970381.9560893145,50804011.07263967,19344516.750501733,45345902.20767985,17704106.667397738,1480012.061249034,127421273.56750411,123006.358135434
