transformer_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
22763,True,260.0,55.1285791263,21.2,260.0,21.2,0.0
22920,True,640.0,244.052275699,38.13,640.0,38.13,0.0
22569,True,400.0,13.1346242572,3.28,400.0,3.28,0.0
22740,True,60.0,2.9765129334,4.96,60.0,4.96,0.0
22933,True,800.0,56.4930107696,7.06,800.0,7.06,0.0
22582,True,510.0,42.9843262169,8.43,510.0,8.43,0.0
22823,True,1080.0,199.231044091,18.45,1080.0,18.45,0.0
22777,True,60.0,2.2261734112,3.71,60.0,3.71,0.0
22888,True,380.0,89.3055153001,23.5,380.0,23.5,0.0
22778,True,800.0,52.9032595098,6.61,800.0,6.61,0.0
22889,True,1500.0,186.02547737,12.4,1500.0,12.4,0.0
22568,True,220.0,30.8445280858,14.02,220.0,14.02,0.0
22741,True,800.0,54.462682126,6.81,800.0,6.81,0.0
22552,True,200.0,25.7713137406,12.89,200.0,12.89,0.0
22601,True,400.0,14.1154743654,3.53,400.0,3.53,0.0
22932,True,300.0,11.6321879111,3.88,300.0,3.88,0.0
22747,True,260.0,44.8245610357,17.24,260.0,17.24,0.0
22883,True,60.0,2.32405131386,3.87,60.0,3.87,0.0
22596,True,60.0,71.7864257383,119.64,71.7864257383,100.0,11.7864257383
22908,True,60.0,0.0,0.0,60.0,0.0,0.0
22531,True,200.0,25.605550204,12.8,200.0,12.8,0.0
22808,True,360.0,21.4791779212,5.97,360.0,5.97,0.0
22934,True,1600.0,64.4635041381,4.03,1600.0,4.03,0.0
